Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.000574810075	0.00406800871	74.6265224	74.6265224	74.6265224	74.6265224	0	0	0	0	0	0	3
2	3	0.00104926423	0.00813601742	18.3440774	49.1768415	18.3440774	74.6265224	25.4496809	0	0	0	0	0	3
3	4	0.00153531707	0.0122040261	12.235404	37.4818692	12.235404	74.6265224	37.1446532	0	0	0	0	0	3
4	4	0.0020229287	0.0162720348	7.29623108	30.2058499	7.29623108	74.6265224	44.4206725	0	0	0	0	0	3
5	5	0.00253409936	0.0203400435	9.5489348	26.0390011	7.29623108	74.6265224	48.5875213	0	0	0	0	0	3
6	5	0.00342724046	0.0244080522	7.47779955	21.2019398	7.29623108	74.6265224	53.4245826	0	0	0	0	0	3
7	6	0.00451361298	0.028476061	9.22291657	18.3187326	7.29623108	74.6265224	56.3077898	0	0	0	0	0	3
8	6	0.00564933041	0.0325440697	8.56344551	16.357571	7.29623108	74.6265224	58.2689514	0	0	0	0	0	3
9	7	0.00678942584	0.0366120784	9.85087402	15.2649521	7.29623108	74.6265224	59.3615704	0	0	0	0	0	3
10	7	0.00792224406	0.0406800871	9.18654301	14.3957877	7.29623108	74.6265224	60.2307348	0	0	0	0	0	3
11	8	0.00961866247	0.0447480958	9.43142944	13.5202367	7.29623108	74.6265224	61.1062857	0	0	0	0	0	3
12	8	0.0113212621	0.0488161045	8.86748552	12.8205115	7.29623108	74.6265224	61.8060109	0	0	0	0	0	3
13	9	0.0130294514	0.0528841132	9.30669453	12.3598425	7.29623108	74.6265224	62.2666799	0	0	0	0	0	3
14	9	0.0147380679	0.0569521219	8.95836295	11.9655015	7.29623108	74.6265224	62.6610209	0	0	0	0	0	3
15	10	0.0164316866	0.0610201306	9.28791674	11.6895221	7.29623108	74.6265224	62.9370003	0	0	0	0	0	3
16	10	0.0189770338	0.0650881393	9.11972012	11.3448403	7.29623108	74.6265224	63.2816821	0	0	0	0	0	3
17	11	0.0214989259	0.069156148	9.21283489	11.0947493	7.29623108	74.6265224	63.5317731	0	0	0	0	0	3
18	11	0.024031884	0.0732241567	9.13629382	10.8883283	7.29623108	74.6265224	63.7381941	0	0	0	0	0	3
19	12	0.026558372	0.0772921654	9.14465824	10.7224536	7.29623108	74.6265224	63.9040688	0	0	0	0	0	3
20	12	0.0290938885	0.0813601742	9.1250772	10.5832431	7.29623108	74.6265224	64.0432793	0	0	0	0	0	3
21	13	0.0329106349	0.0854281829	9.08404463	10.4093765	7.29623108	74.6265224	64.2171459	0	0	0	0	0	3
22	13	0.0367381339	0.0894961916	8.98256656	10.2607268	7.29623108	74.6265224	64.3657956	0	0	0	0	0	3
