Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0101652907	-25.4758129	-25.4758129	-25.4758129	-25.4758129	0	0	0	0	0	0	3
2	2	0	0.0203305814	-7.80069332	-16.6382531	-25.4758129	-7.80069332	8.83755981	0	0	0	0	0	3
3	2	0	0.0304958721	-4.98781811	-12.7547748	-25.4758129	-4.98781811	12.7210382	0	0	0	0	0	3
4	2	0	0.0406611628	-2.93190424	-10.2990572	-25.4758129	-2.93190424	15.1767558	0	0	0	0	0	3
5	2	0	0.0508264535	-3.45374966	-8.92999566	-25.4758129	-2.93190424	16.5458173	0	0	0	0	0	3
6	2	0	0.0609917441	-3.09515207	-7.95752172	-25.4758129	-2.93190424	17.5182912	0	0	0	0	0	3
7	3	0	0.0711570348	-3.32866598	-7.29625662	-25.4758129	-2.93190424	18.1795563	0	0	0	0	0	3
8	3	0	0.0813223255	-3.21936728	-6.78664545	-25.4758129	-2.93190424	18.6891675	0	0	0	0	0	3
9	3	0	0.0914876162	-3.22428215	-6.39082731	-25.4758129	-2.93190424	19.0849856	0	0	0	0	0	3
10	3	0	0.101652907	-3.1135747	-6.06310205	-25.4758129	-2.93190424	19.4127109	0	0	0	0	0	3
11	3	0	0.111818198	-3.03324706	-5.78766068	-25.4758129	-2.93190424	19.6881523	0	0	0	0	0	3
12	4	0	0.121983488	-2.9493564	-5.55113533	-25.4758129	-2.93190424	19.9246776	0	0	0	0	0	3
13	4	0	0.132148779	-2.88528869	-5.3460702	-25.4758129	-2.88528869	20.1297427	0	0	0	0	0	3
14	4	0	0.14231407	-2.81874333	-5.16554685	-25.4758129	-2.81874333	20.3102661	0	0	0	0	0	3
15	4	0	0.15247936	-2.75001332	-5.00451128	-25.4758129	-2.75001332	20.4713017	0	0	0	0	0	3
16	4	0	0.162644651	-2.71785293	-4.86159514	-25.4758129	-2.71785293	20.6142178	0	0	0	0	0	3
17	5	0	0.172809942	-2.67385974	-4.73290482	-25.4758129	-2.67385974	20.7429081	0	0	0	0	0	3
18	5	0	0.182975232	-2.634471	-4.61632516	-25.4758129	-2.634471	20.8594878	0	0	0	0	0	3
19	5	0	0.193140523	-2.58789988	-4.50956594	-25.4758129	-2.58789988	20.966247	0	0	0	0	0	3
20	5	0	0.203305814	-2.53818825	-4.41099705	-25.4758129	-2.53818825	21.0648159	0	0	0	0	0	3
21	5	0	0.213471104	-2.50651475	-4.32030742	-25.4758129	-2.50651475	21.1555055	0	0	0	0	0	3
22	6	0	0.223636395	-2.47144823	-4.23626837	-25.4758129	-2.47144823	21.2395446	0	0	0	0	0	3
23	6	0	0.233801686	-2.43981617	-4.15816175	-25.4758129	-2.43981617	21.3176512	0	0	0	0	0	3
24	6	0	0.243966977	-2.40911156	-4.08528466	-25.4758129	-2.40911156	21.3905283	0	0	0	0	0	3
25	6	0	0.254132267	-2.39311303	-4.01759779	-25.4758129	-2.39311303	21.4582152	0	0	0	0	0	3
26	6	0	0.264297558	-2.37194795	-3.95430357	-25.4758129	-2.37194795	21.5215094	0	0	0	0	0	3
27	7	0	0.274462849	-2.36316578	-3.89537254	-25.4758129	-2.36316578	21.5804404	0	0	0	0	0	3
28	7	0	0.284628139	-2.33545001	-3.83966102	-25.4758129	-2.33545001	21.6361519	0	0	0	0	0	3
29	7	0	0.29479343	-2.32228068	-3.78733756	-25.4758129	-2.32228068	21.6884754	0	0	0	0	0	3
30	7	0	0.304958721	-2.30504861	-3.73792793	-25.4758129	-2.30504861	21.737885	0	0	0	0	0	3
31	7	0	0.315124011	-2.30120751	-3.69158211	-25.4758129	-2.30120751	21.7842308	0	0	0	0	0	3
32	8	0	0.325289302	-2.2821316	-3.64753678	-25.4758129	-2.2821316	21.8282762	0	0	0	0	0	3
33	8	0	0.335454593	-2.27800518	-3.60603582	-25.4758129	-2.27800518	21.8697771	0	0	0	0	0	3
34	8	0	0.345619883	-2.26312845	-3.56653855	-25.4758129	-2.26312845	21.9092744	0	0	0	0	0	3
35	8	0	0.355785174	-2.26211094	-3.52926919	-25.4758129	-2.26211094	21.9465438	0	0	0	0	0	3
36	8	0	0.365950465	-2.25202412	-3.49379016	-25.4758129	-2.25202412	21.9820228	0	0	0	0	0	3
