Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000347870895	0.00374642834	65.7128692	65.7128692	65.7128692	65.7128692	0	0	0	0	0	0	3
2	2	0.000605287892	0.00749285668	12.7063013	43.1702218	12.7063013	65.7128692	22.5426474	0	0	0	0	0	3
3	2	0.000866494691	0.011239285	5.47782726	31.8077636	5.47782726	65.7128692	33.9051056	0	0	0	0	0	3
4	2	0.0011359924	0.0149857134	3.80567496	25.1646744	3.80567496	65.7128692	40.5481948	0	0	0	0	0	3
5	2	0.00142352226	0.0187321417	5.2879847	21.1498852	3.80567496	65.7128692	44.562984	0	0	0	0	0	3
6	3	0.00193914275	0.02247857	5.34218081	16.9465968	3.80567496	65.7128692	48.7662724	0	0	0	0	0	3
7	3	0.00259010971	0.0262249984	5.94144417	14.1806944	3.80567496	65.7128692	51.5321748	0	0	0	0	0	3
8	3	0.00329777276	0.0299714267	5.99934367	12.4250732	3.80567496	65.7128692	53.287796	0	0	0	0	0	3
9	3	0.00395983521	0.033717855	6.5965589	11.450578	3.80567496	65.7128692	54.2622912	0	0	0	0	0	3
10	4	0.0045853648	0.0374642834	6.57113594	10.7849308	3.80567496	65.7128692	54.9279384	0	0	0	0	0	3
11	4	0.00550001663	0.0412107117	6.49023208	10.0707231	3.80567496	65.7128692	55.6421461	0	0	0	0	0	3
12	4	0.0064081102	0.0449571401	6.43159405	9.55502198	3.80567496	65.7128692	56.1578472	0	0	0	0	0	3
13	4	0.00734141767	0.0487035684	6.55258538	9.17332506	3.80567496	65.7128692	56.5395441	0	0	0	0	0	3
14	5	0.00828411283	0.0524499967	6.50448439	8.86962287	3.80567496	65.7128692	56.8432463	0	0	0	0	0	3
15	5	0.00922627865	0.0561964251	6.58351515	8.63617094	3.80567496	65.7128692	57.0766983	0	0	0	0	0	3
16	5	0.0106570556	0.0599428534	6.56801999	8.35850863	3.80567496	65.7128692	57.3543606	0	0	0	0	0	3
17	5	0.012107174	0.0636892817	6.66572331	8.15575784	3.80567496	65.7128692	57.5571114	0	0	0	0	0	3
18	5	0.0135807122	0.0674357101	6.69998497	7.99780316	3.80567496	65.7128692	57.715066	0	0	0	0	0	3
19	6	0.0150691709	0.0711821384	6.67122177	7.86676997	3.80567496	65.7128692	57.8460992	0	0	0	0	0	3
20	6	0.0165559479	0.0749285668	6.60766387	7.75369822	3.80567496	65.7128692	57.959171	0	0	0	0	0	3
21	6	0.0188181363	0.0786749951	6.59271017	7.61413213	3.80567496	65.7128692	58.0987371	0	0	0	0	0	3
22	6	0.0210769089	0.0824214234	6.56488069	7.50168583	3.80567496	65.7128692	58.2111834	0	0	0	0	0	3
23	7	0.0233374699	0.0861678518	6.52987009	7.40755186	3.80567496	65.7128692	58.3053173	0	0	0	0	0	3
24	7	0.0255999352	0.0899142801	6.51074631	7.32829418	3.80567496	65.7128692	58.384575	0	0	0	0	0	3
25	7	0.0278848947	0.0936607085	6.49805133	7.26026196	3.80567496	65.7128692	58.4526072	0	0	0	0	0	3
26	7	0.0313167102	0.0974071368	6.50459928	7.1774533	3.80567496	65.7128692	58.5354159	0	0	0	0	0	3
27	7	0.0347441442	0.101153565	6.48258951	7.1089065	3.80567496	65.7128692	58.6039627	0	0	0	0	0	3
28	8	0.038131876	0.104899993	6.44945667	7.05031932	3.80567496	65.7128692	58.6625499	0	0	0	0	0	3
29	8	0.0414933129	0.108646422	6.40430927	6.99798505	3.80567496	65.7128692	58.7148841	0	0	0	0	0	3
30	8	0.0448254965	0.11239285	6.36152489	6.95067265	3.80567496	65.7128692	58.7621966	0	0	0	0	0	3
31	8	0.0492089362	0.116139278	6.28183872	6.89109418	3.80567496	65.7128692	58.821775	0	0	0	0	0	3
32	9	0.0535993326	0.119885707	6.1744956	6.83239658	3.80567496	65.7128692	58.8804726	0	0	0	0	0	3
33	9	0.0580807728	0.123632135	6.0484306	6.77190674	3.80567496	65.7128692	58.9409625	0	0	0	0	0	3
34	9	0.0627276571	0.127378563	5.93084098	6.70960033	3.80567496	65.7128692	59.0032689	0	0	0	0	0	3
35	9	0.0671679191	0.131124992	5.84565724	6.65248774	3.80567496	65.7128692	59.0603815	0	0	0	0	0	3
36	10	0.0717583466	0.13487142	5.80118983	6.59802967	3.80567496	65.7128692	59.1148395	0	0	0	0	0	3
37	10	0.0762296187	0.138617849	5.74655016	6.54808587	3.80567496	65.7128692	59.1647833	0	0	0	0	0	3
38	10	0.0808437439	0.142364277	5.71438462	6.5005027	3.80567496	65.7128692	59.2123665	0	0	0	0	0	3
39	10	0.0853170651	0.146110705	5.68210541	6.45759271	3.80567496	65.7128692	59.2552765	0	0	0	0	0	3
40	11	0.0898980488	0.149857134	5.68057869	6.41799799	3.80567496	65.7128692	59.2948712	0	0	0	0	0	3
41	11	0.09439114	0.153603562	5.70465036	6.38404209	3.80567496	65.7128692	59.3288271	0	0	0	0	0	3
42	11	0.0989790588	0.15734999	5.73089059	6.35376694	3.80567496	65.7128692	59.3591023	0	0	0	0	0	3
43	11	0.103565754	0.161096419	5.72429437	6.325889	3.80567496	65.7128692	59.3869802	0	0	0	0	0	3
44	12	0.108263814	0.164842847	5.73083105	6.30006673	3.80567496	65.7128692	59.4128025	0	0	0	0	0	3
45	12	0.11301489	0.168589275	5.75334236	6.27708278	3.80567496	65.7128692	59.4357864	0	0	0	0	0	3
46	12	0.117844113	0.172335704	5.75093176	6.25552124	3.80567496	65.7128692	59.457348	0	0	0	0	0	3
47	12	0.122715178	0.176082132	5.75161442	6.23551913	3.80567496	65.7128692	59.4773501	0	0	0	0	0	3
48	13	0.127580203	0.17982856	5.72582004	6.21608273	3.80567496	65.7128692	59.4967865	0	0	0	0	0	3
49	13	0.132467402	0.183574989	5.74212769	6.19859683	3.80567496	65.7128692	59.5142724	0	0	0	0	0	3
50	13	0.137362984	0.187321417	5.74637132	6.18247962	3.80567496	65.7128692	59.5303896	0	0	0	0	0	3
51	13	0.142351944	0.191067845	5.73376758	6.16675377	3.80567496	65.7128692	59.5461154	0	0	0	0	0	3
52	14	0.147268171	0.194814274	5.71433815	6.15165086	3.80567496	65.7128692	59.5612183	0	0	0	0	0	3
53	14	0.152190989	0.198560702	5.72921244	6.13798653	3.80567496	65.7128692	59.5748827	0	0	0	0	0	3
54	14	0.157117101	0.20230713	5.71221415	6.12463723	3.80567496	65.7128692	59.588232	0	0	0	0	0	3
55	14	0.162127289	0.206053559	5.72394302	6.11225466	3.80567496	65.7128692	59.6006145	0	0	0	0	0	3
56	14	0.167014446	0.209799987	5.69557014	6.10006169	3.80567496	65.7128692	59.6128075	0	0	0	0	0	3
57	15	0.171969162	0.213546415	5.70805117	6.08876722	3.80567496	65.7128692	59.624102	0	0	0	0	0	3
58	15	0.176853549	0.217292844	5.68911285	6.07772946	3.80567496	65.7128692	59.6351397	0	0	0	0	0	3
59	15	0.181884512	0.221039272	5.69872944	6.06724624	3.80567496	65.7128692	59.645623	0	0	0	0	0	3
60	15	0.186755909	0.2247857	5.6750837	6.05701695	3.80567496	65.7128692	59.6558522	0	0	0	0	0	3
61	16	0.191732772	0.228532129	5.69122945	6.0475221	3.80567496	65.7128692	59.6653471	0	0	0	0	0	3
62	16	0.196681317	0.232278557	5.67393366	6.03812254	3.80567496	65.7128692	59.6747467	0	0	0	0	0	3
63	16	0.201726999	0.236024985	5.68683189	6.0293359	3.80567496	65.7128692	59.6835333	0	0	0	0	0	3
64	16	0.206631545	0.239771414	5.66706621	6.02073717	3.80567496	65.7128692	59.692132	0	0	0	0	0	3
65	17	0.211618438	0.243517842	5.69016564	6.01294709	3.80567496	65.7128692	59.6999221	0	0	0	0	0	3
66	17	0.216582392	0.24726427	5.67201758	6.00513317	3.80567496	65.7128692	59.707736	0	0	0	0	0	3
67	17	0.221635587	0.251010699	5.67903682	5.99769832	3.80567496	65.7128692	59.7151709	0	0	0	0	0	3
68	17	0.226546253	0.254757127	5.65578704	5.99028697	3.80567496	65.7128692	59.7225822	0	0	0	0	0	3
69	18	0.231539095	0.258503555	5.67317927	5.98344895	3.80567496	65.7128692	59.7294203	0	0	0	0	0	3
70	18	0.236504772	0.262249984	5.65946113	5.97664647	3.80567496	65.7128692	59.7362227	0	0	0	0	0	3
71	18	0.241559612	0.265996412	5.67854891	5.97040853	3.80567496	65.7128692	59.7424607	0	0	0	0	0	3
72	18	0.246470614	0.26974284	5.6540151	5.96410429	3.80567496	65.7128692	59.7487649	0	0	0	0	0	3
73	19	0.251465218	0.273489269	5.66841666	5.95823134	3.80567496	65.7128692	59.7546379	0	0	0	0	0	3
74	19	0.256432063	0.277235697	5.6640244	5.95253283	3.80567496	65.7128692	59.7603364	0	0	0	0	0	3
75	19	0.261487479	0.280982125	5.68056648	5.94727483	3.80567496	65.7128692	59.7655944	0	0	0	0	0	3
