Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0101652907	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0203305814	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0304958721	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0406611628	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0508264535	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0609917441	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.0711570348	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.0813223255	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.0914876162	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.101652907	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.111818198	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.121983488	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.132148779	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.14231407	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.15247936	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.162644651	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.172809942	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.182975232	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.193140523	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.203305814	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.213471104	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.223636395	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.233801686	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.243966977	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.254132267	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.264297558	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.274462849	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.284628139	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.29479343	0	0	0	0	0	0	0	0	0	0	3
30	7	0	0.304958721	0	0	0	0	0	0	0	0	0	0	3
31	7	0	0.315124011	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.325289302	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.335454593	0	0	0	0	0	0	0	0	0	0	3
34	8	0	0.345619883	0	0	0	0	0	0	0	0	0	0	3
35	8	0	0.355785174	0	0	0	0	0	0	0	0	0	0	3
36	8	0	0.365950465	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.376115756	0	0	0	0	0	0	0	0	0	0	3
38	9	0	0.386281046	0	0	0	0	0	0	0	0	0	0	3
39	9	0	0.396446337	0	0	0	0	0	0	0	0	0	0	3
40	9	0	0.406611628	0	0	0	0	0	0	0	0	0	0	3
41	9	0	0.416776918	0	0	0	0	0	0	0	0	0	0	3
42	10	0	0.426942209	0	0	0	0	0	0	0	0	0	0	3
43	10	0	0.4371075	0	0	0	0	0	0	0	0	0	0	3
44	10	0	0.44727279	0	0	0	0	0	0	0	0	0	0	3
45	10	0	0.457438081	0	0	0	0	0	0	0	0	0	0	3
46	11	0	0.467603372	0	0	0	0	0	0	0	0	0	0	3
47	11	0	0.477768662	0	0	0	0	0	0	0	0	0	0	3
48	11	0	0.487933953	0	0	0	0	0	0	0	0	0	0	3
49	11	0	0.498099244	0	0	0	0	0	0	0	0	0	0	3
50	11	0	0.508264535	0	0	0	0	0	0	0	0	0	0	3
51	12	0	0.518429825	0	0	0	0	0	0	0	0	0	0	3
52	12	0	0.528595116	0	0	0	0	0	0	0	0	0	0	3
53	12	0	0.538760407	0	0	0	0	0	0	0	0	0	0	3
54	12	0	0.548925697	0	0	0	0	0	0	0	0	0	0	3
55	12	0	0.559090988	0	0	0	0	0	0	0	0	0	0	3
56	13	0	0.569256279	0	0	0	0	0	0	0	0	0	0	3
57	13	0	0.579421569	0	0	0	0	0	0	0	0	0	0	3
58	13	0	0.58958686	0	0	0	0	0	0	0	0	0	0	3
59	13	0	0.599752151	0	0	0	0	0	0	0	0	0	0	3
60	13	0	0.609917441	0	0	0	0	0	0	0	0	0	0	3
61	14	0	0.620082732	0	0	0	0	0	0	0	0	0	0	3
62	14	0	0.630248023	0	0	0	0	0	0	0	0	0	0	3
63	14	0	0.640413313	0	0	0	0	0	0	0	0	0	0	3
64	14	0	0.650578604	0	0	0	0	0	0	0	0	0	0	3
65	14	0	0.660743895	0	0	0	0	0	0	0	0	0	0	3
66	15	0	0.670909186	0	0	0	0	0	0	0	0	0	0	3
67	15	0	0.681074476	0	0	0	0	0	0	0	0	0	0	3
68	15	0	0.691239767	0	0	0	0	0	0	0	0	0	0	3
69	15	0	0.701405058	0	0	0	0	0	0	0	0	0	0	3
70	15	0	0.711570348	0	0	0	0	0	0	0	0	0	0	3
71	16	0	0.721735639	0	0	0	0	0	0	0	0	0	0	3
72	16	0	0.73190093	0	0	0	0	0	0	0	0	0	0	3
73	16	0	0.74206622	0	0	0	0	0	0	0	0	0	0	3
74	16	0	0.752231511	0	0	0	0	0	0	0	0	0	0	3
75	16	0	0.762396802	0	0	0	0	0	0	0	0	0	0	3
76	17	0	0.772562092	0	0	0	0	0	0	0	0	0	0	3
77	17	0	0.782727383	0	0	0	0	0	0	0	0	0	0	3
78	17	0	0.792892674	0	0	0	0	0	0	0	0	0	0	3
79	17	0	0.803057965	0	0	0	0	0	0	0	0	0	0	3
80	17	0	0.813223255	0	0	0	0	0	0	0	0	0	0	3
81	18	0	0.823388546	0	0	0	0	0	0	0	0	0	0	3
82	18	0	0.833553837	0	0	0	0	0	0	0	0	0	0	3
83	18	0	0.843719127	0	0	0	0	0	0	0	0	0	0	3
84	18	0	0.853884418	0	0	0	0	0	0	0	0	0	0	3
85	19	0	0.864049709	0	0	0	0	0	0	0	0	0	0	3
86	19	0	0.874214999	0	0	0	0	0	0	0	0	0	0	3
87	19	0	0.88438029	0	0	0	0	0	0	0	0	0	0	3
88	19	0	0.894545581	0	0	0	0	0	0	0	0	0	0	3
89	19	0	0.904710871	0	0	0	0	0	0	0	0	0	0	3
90	20	0	0.914876162	0	0	0	0	0	0	0	0	0	0	3
91	20	0	0.925041453	0	0	0	0	0	0	0	0	0	0	3
92	20	0	0.935206744	0	0	0	0	0	0	0	0	0	0	3
93	20	0	0.945372034	0	0	0	0	0	0	0	0	0	0	3
94	20	0	0.955537325	0	0	0	0	0	0	0	0	0	0	3
95	21	0	0.965702616	0	0	0	0	0	0	0	0	0	0	3
96	21	0	0.975867906	0	0	0	0	0	0	0	0	0	0	3
97	21	0	0.986033197	0	0	0	0	0	0	0	0	0	0	3
98	21	0	0.996198488	0	0	0	0	0	0	0	0	0	0	3
99	21	0	1.00636378	0	0	0	0	0	5e-06	0	0	0	0	3
