Iteration	CPUTime	PhysTime	Travels
1	1	0.000347870895	0.00374642834
2	2	0.000605287892	0.00749285668
3	2	0.000866494691	0.011239285
4	2	0.0011359924	0.0149857134
5	2	0.00142352226	0.0187321417
6	3	0.00193914275	0.02247857
7	3	0.00259010971	0.0262249984
8	3	0.00329777276	0.0299714267
9	3	0.00395983521	0.033717855
10	4	0.0045853648	0.0374642834
11	4	0.00550001663	0.0412107117
12	4	0.0064081102	0.0449571401
13	4	0.00734141767	0.0487035684
14	5	0.00828411283	0.0524499967
15	5	0.00922627865	0.0561964251
16	5	0.0106570556	0.0599428534
17	5	0.012107174	0.0636892817
18	5	0.0135807122	0.0674357101
19	6	0.0150691709	0.0711821384
20	6	0.0165559479	0.0749285668
21	6	0.0188181363	0.0786749951
22	6	0.0210769089	0.0824214234
23	7	0.0233374699	0.0861678518
24	7	0.0255999352	0.0899142801
25	7	0.0278848947	0.0936607085
26	7	0.0313167102	0.0974071368
27	7	0.0347441442	0.101153565
28	8	0.038131876	0.104899993
29	8	0.0414933129	0.108646422
30	8	0.0448254965	0.11239285
31	8	0.0492089362	0.116139278
32	9	0.0535993326	0.119885707
33	9	0.0580807728	0.123632135
34	9	0.0627276571	0.127378563
35	9	0.0671679191	0.131124992
36	10	0.0717583466	0.13487142
37	10	0.0762296187	0.138617849
38	10	0.0808437439	0.142364277
39	10	0.0853170651	0.146110705
40	11	0.0898980488	0.149857134
41	11	0.09439114	0.153603562
42	11	0.0989790588	0.15734999
43	11	0.103565754	0.161096419
44	12	0.108263814	0.164842847
45	12	0.11301489	0.168589275
46	12	0.117844113	0.172335704
47	12	0.122715178	0.176082132
48	13	0.127580203	0.17982856
49	13	0.132467402	0.183574989
50	13	0.137362984	0.187321417
51	13	0.142351944	0.191067845
52	14	0.147268171	0.194814274
53	14	0.152190989	0.198560702
54	14	0.157117101	0.20230713
55	14	0.162127289	0.206053559
56	14	0.167014446	0.209799987
57	15	0.171969162	0.213546415
58	15	0.176853549	0.217292844
59	15	0.181884512	0.221039272
60	15	0.186755909	0.2247857
61	16	0.191732772	0.228532129
62	16	0.196681317	0.232278557
63	16	0.201726999	0.236024985
64	16	0.206631545	0.239771414
65	17	0.211618438	0.243517842
66	17	0.216582392	0.24726427
67	17	0.221635587	0.251010699
68	17	0.226546253	0.254757127
69	18	0.231539095	0.258503555
70	18	0.236504772	0.262249984
71	18	0.241559612	0.265996412
72	18	0.246470614	0.26974284
73	19	0.251465218	0.273489269
74	19	0.256432063	0.277235697
