Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	-23.4498306	-23.4498306	-23.4498306	-23.4498306	0	0	0	0	0	0	3
2	8	0	0.0114260868	-1.69696504	-12.5733978	-23.4498306	-1.69696504	10.8764328	0	0	0	0	0	3
3	9	0	0.0171391303	31.7745865	2.20926361	-23.4498306	31.7745865	25.6590942	0	0	0	0	0	3
4	11	0	0.0228521737	-32.7887177	-6.54023171	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
5	12	0	0.0285652171	10.669904	-3.09820457	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
6	14	0	0.0342782605	12.4891819	-0.500306818	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
7	16	0	0.0399913039	10.9678198	1.13799698	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
8	17	0	0.0457043474	6.92472767	1.86133832	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
9	19	0	0.0514173908	2.53158622	1.93581031	-32.7887177	31.7745865	25.6590942	0	0	0	0	0	3
10	20	0	0.0571304342	10.8046213	2.8226914	-32.7887177	31.7745865	26.272522	0	0	0	0	0	3
11	22	0	0.0628434776	10.0672467	3.48128734	-32.7887177	31.7745865	26.931118	0	0	0	0	0	3
12	23	0	0.068556521	6.0125545	3.69222627	-32.7887177	31.7745865	27.1420569	0	0	0	0	0	3
13	24	0	0.0742695645	4.80014276	3.77745062	-32.7887177	31.7745865	27.2272812	0	0	0	0	0	3
14	25	0	0.0799826079	5.81329512	3.92286808	-32.7887177	31.7745865	27.3726987	0	0	0	0	0	3
15	27	0	0.0856956513	3.6203074	3.90269737	-32.7887177	31.7745865	27.3726987	0	0	0	0	0	3
16	28	0	0.0914086947	4.72593718	3.95414986	-32.7887177	31.7745865	27.4039805	0	0	0	0	0	3
17	29	0	0.0971217381	4.8249186	4.00537155	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
18	31	0	0.102834782	1.03762298	3.84049663	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
19	32	0	0.108547825	3.08882747	3.80093509	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
20	33	0	0.114260868	1.95728708	3.70875269	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
21	34	0	0.119973912	2.18145547	3.63602425	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
22	35	0	0.125686955	-0.776751439	3.43544354	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
23	37	0	0.131399999	0.375928025	3.30242113	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
24	38	0	0.137113042	0.283339362	3.17662605	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
25	39	0	0.142826086	-0.158698278	3.04321308	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
26	41	0	0.148539129	-0.726857313	2.89821037	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
27	42	0	0.154252172	-1.14902639	2.74831272	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
28	43	0	0.159965216	-1.74359758	2.58788735	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
29	44	0	0.165678259	-1.97645082	2.43049638	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
30	45	0	0.171391303	-2.26433236	2.27400209	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
31	47	0	0.177104346	-3.00004974	2.10387138	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
32	48	0	0.182817389	-2.84491185	1.94922191	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
33	49	0	0.188530433	-2.97303906	1.80006248	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
34	51	0	0.194243476	-2.45305327	1.67497084	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
35	52	0	0.19995652	-2.00751396	1.56975699	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
36	53	0	0.205669563	-1.89893995	1.4734043	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
37	55	0	0.211382607	-1.72301731	1.38701452	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
38	56	0	0.21709565	-1.70676567	1.30559926	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
39	57	0	0.222808693	-1.26028823	1.23980727	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
40	59	0	0.228521737	-1.18445973	1.17920059	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
41	60	0	0.23423478	-0.889066815	1.12875505	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
42	62	0	0.239947824	-1.10272988	1.07562445	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
43	63	0	0.245660867	-1.16024714	1.02362744	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
44	65	0	0.25137391	-0.863064596	0.980748076	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
45	66	0	0.257086954	-0.256581475	0.953251864	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
46	68	0	0.262799997	-0.302757346	0.925947316	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
47	69	0	0.268513041	-0.0350322124	0.905500943	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
48	71	0	0.274226084	0.108830962	0.888903652	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
49	72	0	0.279939128	-0.106508802	0.868589112	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
50	74	0	0.285652171	-0.0552260289	0.850112809	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
51	75	0	0.291365214	0.0745678748	0.834906046	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
52	77	0	0.297078258	-0.0303149758	0.81826718	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
53	78	0	0.302791301	-0.175770022	0.799511761	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
54	80	0	0.308504345	-0.107322391	0.782718536	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
55	81	0	0.314217388	-0.2541462	0.76386645	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
56	83	0	0.319930432	-0.299652329	0.744875043	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
57	84	0	0.325643475	-0.443221822	0.724031238	-32.7887177	31.7745865	27.4552022	0	0	0	0	0	3
