Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	38.9035261	38.9035261	38.9035261	38.9035261	0	0	0	0	0	0	3
2	8	0	0.0114260868	24.5168552	31.7101906	24.5168552	38.9035261	7.19333543	0	0	0	0	0	3
3	9	0	0.0171391303	-11.9055823	17.1715996	-11.9055823	38.9035261	21.7319264	0	0	0	0	0	3
4	11	0	0.0228521737	24.9615167	19.1190789	-11.9055823	38.9035261	21.7319264	0	0	0	0	0	3
5	12	0	0.0285652171	-12.2532168	12.8446198	-12.2532168	38.9035261	26.0589063	0	0	0	0	0	3
6	14	0	0.0342782605	1.11961976	10.8904531	-12.2532168	38.9035261	28.013073	0	0	0	0	0	3
7	16	0	0.0399913039	0.433115545	9.39654773	-12.2532168	38.9035261	29.5069783	0	0	0	0	0	3
8	17	0	0.0457043474	5.31210677	8.88599261	-12.2532168	38.9035261	30.0175334	0	0	0	0	0	3
9	19	0	0.0514173908	5.05348119	8.460158	-12.2532168	38.9035261	30.443368	0	0	0	0	0	3
10	20	0	0.0571304342	4.64544408	8.07868661	-12.2532168	38.9035261	30.8248394	0	0	0	0	0	3
11	22	0	0.0628434776	2.56680668	7.57760662	-12.2532168	38.9035261	31.3259194	0	0	0	0	0	3
12	23	0	0.068556521	5.10190318	7.371298	-12.2532168	38.9035261	31.5322281	0	0	0	0	0	3
13	24	0	0.0742695645	2.12426027	6.96767971	-12.2532168	38.9035261	31.9358463	0	0	0	0	0	3
14	25	0	0.0799826079	3.75774233	6.73839847	-12.2532168	38.9035261	32.1651276	0	0	0	0	0	3
15	27	0	0.0856956513	5.07885514	6.62776225	-12.2532168	38.9035261	32.2757638	0	0	0	0	0	3
16	28	0	0.0914086947	4.34070192	6.48482098	-12.2532168	38.9035261	32.4187051	0	0	0	0	0	3
17	29	0	0.0971217381	4.55990934	6.37159088	-12.2532168	38.9035261	32.5319352	0	0	0	0	0	3
18	31	0	0.102834782	7.0040243	6.40672607	-12.2532168	38.9035261	32.5319352	0	0	0	0	0	3
19	32	0	0.108547825	4.46886271	6.30473326	-12.2532168	38.9035261	32.5987928	0	0	0	0	0	3
20	33	0	0.114260868	5.12198975	6.24559609	-12.2532168	38.9035261	32.65793	0	0	0	0	0	3
21	34	0	0.119973912	4.88058849	6.18059573	-12.2532168	38.9035261	32.7229303	0	0	0	0	0	3
22	35	0	0.125686955	5.6317909	6.15565005	-12.2532168	38.9035261	32.747876	0	0	0	0	0	3
23	37	0	0.131399999	4.872634	6.09986675	-12.2532168	38.9035261	32.8036593	0	0	0	0	0	3
24	38	0	0.137113042	4.1163205	6.01721899	-12.2532168	38.9035261	32.8863071	0	0	0	0	0	3
25	39	0	0.142826086	4.09519897	5.94033818	-12.2532168	38.9035261	32.9631879	0	0	0	0	0	3
26	41	0	0.148539129	3.76990443	5.85685996	-12.2532168	38.9035261	33.0466661	0	0	0	0	0	3
27	42	0	0.154252172	3.4202083	5.76661361	-12.2532168	38.9035261	33.1369124	0	0	0	0	0	3
28	43	0	0.159965216	3.76960277	5.69529179	-12.2532168	38.9035261	33.2082343	0	0	0	0	0	3
29	44	0	0.165678259	3.68105512	5.62583535	-12.2532168	38.9035261	33.2776907	0	0	0	0	0	3
30	45	0	0.171391303	3.28321791	5.5477481	-12.2532168	38.9035261	33.3557779	0	0	0	0	0	3
31	47	0	0.177104346	4.12452753	5.50183776	-12.2532168	38.9035261	33.4016883	0	0	0	0	0	3
32	48	0	0.182817389	3.80496992	5.44881064	-12.2532168	38.9035261	33.4547154	0	0	0	0	0	3
33	49	0	0.188530433	3.69996327	5.39581527	-12.2532168	38.9035261	33.5077108	0	0	0	0	0	3
34	51	0	0.194243476	3.20584019	5.33140424	-12.2532168	38.9035261	33.5721218	0	0	0	0	0	3
35	52	0	0.19995652	3.00519878	5.26494122	-12.2532168	38.9035261	33.6385848	0	0	0	0	0	3
36	53	0	0.205669563	3.20167667	5.20762832	-12.2532168	38.9035261	33.6958977	0	0	0	0	0	3
37	55	0	0.211382607	3.25953408	5.15497712	-12.2532168	38.9035261	33.7485489	0	0	0	0	0	3
38	56	0	0.21709565	2.96642509	5.09738365	-12.2532168	38.9035261	33.8061424	0	0	0	0	0	3
39	57	0	0.222808693	3.12433323	5.04679261	-12.2532168	38.9035261	33.8567334	0	0	0	0	0	3
40	59	0	0.228521737	3.08462263	4.99773836	-12.2532168	38.9035261	33.9057877	0	0	0	0	0	3
41	60	0	0.23423478	3.04929394	4.95021533	-12.2532168	38.9035261	33.9533107	0	0	0	0	0	3
42	62	0	0.239947824	3.20817493	4.90873818	-12.2532168	38.9035261	33.9947879	0	0	0	0	0	3
43	63	0	0.245660867	3.27360869	4.87071191	-12.2532168	38.9035261	34.0328141	0	0	0	0	0	3
