Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	0	0	0	0	0	0	0	0	0	0	3
2	8	0	0.0114260868	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0171391303	0	0	0	0	0	0	0	0	0	0	3
4	11	0	0.0228521737	0	0	0	0	0	0	0	0	0	0	3
5	12	0	0.0285652171	0	0	0	0	0	0	0	0	0	0	3
6	14	0	0.0342782605	0	0	0	0	0	0	0	0	0	0	3
7	16	0	0.0399913039	0	0	0	0	0	0	0	0	0	0	3
8	17	0	0.0457043474	0	0	0	0	0	0	0	0	0	0	3
9	19	0	0.0514173908	0	0	0	0	0	0	0	0	0	0	3
10	20	0	0.0571304342	0	0	0	0	0	0	0	0	0	0	3
11	22	0	0.0628434776	0	0	0	0	0	0	0	0	0	0	3
12	23	0	0.068556521	0	0	0	0	0	0	0	0	0	0	3
13	24	0	0.0742695645	0	0	0	0	0	0	0	0	0	0	3
14	25	0	0.0799826079	0	0	0	0	0	0	0	0	0	0	3
15	27	0	0.0856956513	0	0	0	0	0	0	0	0	0	0	3
16	28	0	0.0914086947	0	0	0	0	0	0	0	0	0	0	3
17	29	0	0.0971217381	0	0	0	0	0	0	0	0	0	0	3
18	31	0	0.102834782	0	0	0	0	0	0	0	0	0	0	3
19	32	0	0.108547825	0	0	0	0	0	0	0	0	0	0	3
20	33	0	0.114260868	0	0	0	0	0	0	0	0	0	0	3
21	34	0	0.119973912	0	0	0	0	0	0	0	0	0	0	3
22	35	0	0.125686955	0	0	0	0	0	0	0	0	0	0	3
23	37	0	0.131399999	0	0	0	0	0	0	0	0	0	0	3
24	38	0	0.137113042	0	0	0	0	0	0	0	0	0	0	3
25	39	0	0.142826086	0	0	0	0	0	0	0	0	0	0	3
26	41	0	0.148539129	0	0	0	0	0	0	0	0	0	0	3
27	42	0	0.154252172	0	0	0	0	0	0	0	0	0	0	3
28	43	0	0.159965216	0	0	0	0	0	0	0	0	0	0	3
29	44	0	0.165678259	0	0	0	0	0	0	0	0	0	0	3
30	45	0	0.171391303	0	0	0	0	0	0	0	0	0	0	3
31	47	0	0.177104346	0	0	0	0	0	0	0	0	0	0	3
32	48	0	0.182817389	0	0	0	0	0	0	0	0	0	0	3
33	49	0	0.188530433	0	0	0	0	0	0	0	0	0	0	3
34	51	0	0.194243476	0	0	0	0	0	0	0	0	0	0	3
35	52	0	0.19995652	0	0	0	0	0	0	0	0	0	0	3
36	53	0	0.205669563	0	0	0	0	0	0	0	0	0	0	3
37	55	0	0.211382607	0	0	0	0	0	0	0	0	0	0	3
38	56	0	0.21709565	0	0	0	0	0	0	0	0	0	0	3
39	57	0	0.222808693	0	0	0	0	0	0	0	0	0	0	3
40	59	0	0.228521737	0	0	0	0	0	0	0	0	0	0	3
41	60	0	0.23423478	0	0	0	0	0	0	0	0	0	0	3
42	62	0	0.239947824	0	0	0	0	0	0	0	0	0	0	3
43	63	0	0.245660867	0	0	0	0	0	0	0	0	0	0	3
44	65	0	0.25137391	0	0	0	0	0	0	0	0	0	0	3
45	66	0	0.257086954	0	0	0	0	0	0	0	0	0	0	3
46	68	0	0.262799997	0	0	0	0	0	0	0	0	0	0	3
47	69	0	0.268513041	0	0	0	0	0	0	0	0	0	0	3
48	71	0	0.274226084	0	0	0	0	0	0	0	0	0	0	3
49	72	0	0.279939128	0	0	0	0	0	0	0	0	0	0	3
50	74	0	0.285652171	0	0	0	0	0	0	0	0	0	0	3
51	75	0	0.291365214	0	0	0	0	0	0	0	0	0	0	3
52	77	0	0.297078258	0	0	0	0	0	0	0	0	0	0	3
53	78	0	0.302791301	0	0	0	0	0	0	0	0	0	0	3
54	80	0	0.308504345	0	0	0	0	0	0	0	0	0	0	3
55	81	0	0.314217388	0	0	0	0	0	0	0	0	0	0	3
56	83	0	0.319930432	0	0	0	0	0	0	0	0	0	0	3
57	84	0	0.325643475	0	0	0	0	0	0	0	0	0	0	3
58	85	0	0.331356518	0	0	0	0	0	0	0	0	0	0	3
59	87	0	0.337069562	0	0	0	0	0	0	0	0	0	0	3
60	88	0	0.342782605	0	0	0	0	0	0	0	0	0	0	3
61	90	0	0.348495649	0	0	0	0	0	0	0	0	0	0	3
62	91	0	0.354208692	0	0	0	0	0	0	0	0	0	0	3
63	93	0	0.359921735	0	0	0	0	0	0	0	0	0	0	3
64	94	0	0.365634779	0	0	0	0	0	0	0	0	0	0	3
65	96	0	0.371347822	0	0	0	0	0	0	0	0	0	0	3
66	97	0	0.377060866	0	0	0	0	0	0	0	0	0	0	3
67	98	0	0.382773909	0	0	0	0	0	0	0	0	0	0	3
68	100	0	0.388486953	0	0	0	0	0	0	0	0	0	0	3
69	101	0	0.394199996	0	0	0	0	0	0	0	0	0	0	3
70	103	0	0.399913039	0	0	0	0	0	0	0	0	0	0	3
71	104	0	0.405626083	0	0	0	0	0	0	0	0	0	0	3
72	105	0	0.411339126	0	0	0	0	0	0	0	0	0	0	3
73	107	0	0.41705217	0	0	0	0	0	0	0	0	0	0	3
74	108	0	0.422765213	0	0	0	0	0	0	0	0	0	0	3
75	110	0	0.428478257	0	0	0	0	0	0	0	0	0	0	3
76	111	0	0.4341913	0	0	0	0	0	0	0	0	0	0	3
77	113	0	0.439904343	0	0	0	0	0	0	0	0	0	0	3
78	114	0	0.445617387	0	0	0	0	0	0	0	0	0	0	3
79	115	0	0.45133043	0	0	0	0	0	0	0	0	0	0	3
80	117	0	0.457043474	0	0	0	0	0	0	0	0	0	0	3
81	118	0	0.462756517	0	0	0	0	0	0	0	0	0	0	3
