Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	101364.706	101364.706	101364.706	101364.706	0	0	0	0	0	0	3
2	8	0	0.0114260868	101330.893	101347.799	101330.893	101364.706	16.906475	0	0	0	0	0	3
3	9	0	0.0171391303	101142.124	101279.241	101142.124	101364.706	85.4648049	0	0	0	0	0	3
4	11	0	0.0228521737	101420.292	101314.504	101142.124	101420.292	85.4648049	0	0	0	0	0	3
5	12	0	0.0285652171	101223.285	101296.26	101142.124	101420.292	85.4648049	0	0	0	0	0	3
6	14	0	0.0342782605	101310.622	101298.654	101142.124	101420.292	85.4648049	0	0	0	0	0	3
7	16	0	0.0399913039	101288.418	101297.191	101142.124	101420.292	85.4648049	0	0	0	0	0	3
8	17	0	0.0457043474	101334.924	101301.908	101142.124	101420.292	85.4648049	0	0	0	0	0	3
9	19	0	0.0514173908	101321.805	101304.119	101142.124	101420.292	85.4648049	0	0	0	0	0	3
10	20	0	0.0571304342	101317.28	101305.435	101142.124	101420.292	85.4648049	0	0	0	0	0	3
11	22	0	0.0628434776	101317.526	101306.534	101142.124	101420.292	85.4648049	0	0	0	0	0	3
12	23	0	0.068556521	101326.724	101308.217	101142.124	101420.292	85.4648049	0	0	0	0	0	3
13	24	0	0.0742695645	101321.765	101309.259	101142.124	101420.292	85.4648049	0	0	0	0	0	3
14	25	0	0.0799826079	101321.621	101310.142	101142.124	101420.292	85.4648049	0	0	0	0	0	3
15	27	0	0.0856956513	101332.661	101311.643	101142.124	101420.292	85.4648049	0	0	0	0	0	3
16	28	0	0.0914086947	101320.788	101312.215	101142.124	101420.292	85.4648049	0	0	0	0	0	3
17	29	0	0.0971217381	101321.696	101312.772	101142.124	101420.292	85.4648049	0	0	0	0	0	3
18	31	0	0.102834782	101329.601	101313.707	101142.124	101420.292	85.4648049	0	0	0	0	0	3
19	32	0	0.108547825	101322.602	101314.175	101142.124	101420.292	85.4648049	0	0	0	0	0	3
20	33	0	0.114260868	101326.768	101314.805	101142.124	101420.292	85.4648049	0	0	0	0	0	3
21	34	0	0.119973912	101324.282	101315.256	101142.124	101420.292	85.4648049	0	0	0	0	0	3
22	35	0	0.125686955	101329.127	101315.887	101142.124	101420.292	85.4648049	0	0	0	0	0	3
23	37	0	0.131399999	101323.776	101316.23	101142.124	101420.292	85.4648049	0	0	0	0	0	3
24	38	0	0.137113042	101322.365	101316.485	101142.124	101420.292	85.4648049	0	0	0	0	0	3
25	39	0	0.142826086	101324.619	101316.811	101142.124	101420.292	85.4648049	0	0	0	0	0	3
26	41	0	0.148539129	101324.873	101317.121	101142.124	101420.292	85.4648049	0	0	0	0	0	3
27	42	0	0.154252172	101324.329	101317.388	101142.124	101420.292	85.4648049	0	0	0	0	0	3
