Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	293.200029	293.200029	293.200029	293.200029	0	0	0	0	0	0	3
2	8	0	0.0114260868	293.199995	293.200012	293.199995	293.200029	1.6747581e-05	0	0	0	0	0	3
3	9	0	0.0171391303	293.199785	293.199936	293.199785	293.200029	9.25821257e-05	0	0	0	0	0	3
4	11	0	0.0228521737	293.200124	293.199983	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
5	12	0	0.0285652171	293.199901	293.199967	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
6	14	0	0.0342782605	293.200018	293.199975	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
7	16	0	0.0399913039	293.200005	293.19998	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
8	17	0	0.0457043474	293.20007	293.199991	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
9	19	0	0.0514173908	293.200067	293.199999	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
10	20	0	0.0571304342	293.200076	293.200007	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
11	22	0	0.0628434776	293.200101	293.200016	293.199785	293.200124	9.25821257e-05	0	0	0	0	0	3
12	23	0	0.068556521	293.200137	293.200026	293.199785	293.200137	9.25821257e-05	0	0	0	0	0	3
13	24	0	0.0742695645	293.200159	293.200036	293.199785	293.200159	9.95400854e-05	0	0	0	0	0	3
14	25	0	0.0799826079	293.200189	293.200047	293.199785	293.200189	0.000110482145	0	0	0	0	0	3
15	27	0	0.0856956513	293.200235	293.200059	293.199785	293.200235	0.000123033383	0	0	0	0	0	3
16	28	0	0.0914086947	293.200276	293.200073	293.199785	293.200276	0.000136578811	0	0	0	0	0	3
17	29	0	0.0971217381	293.200335	293.200088	293.199785	293.200335	0.000151975068	0	0	0	0	0	3
18	31	0	0.102834782	293.200405	293.200106	293.199785	293.200405	0.000169553089	0	0	0	0	0	3
19	32	0	0.108547825	293.200458	293.200124	293.199785	293.200458	0.000188091725	0	0	0	0	0	3
20	33	0	0.114260868	293.200525	293.200144	293.199785	293.200525	0.000208126281	0	0	0	0	0	3
21	34	0	0.119973912	293.200618	293.200167	293.199785	293.200618	0.000230662794	0	0	0	0	0	3
22	35	0	0.125686955	293.200725	293.200192	293.199785	293.200725	0.000256012584	0	0	0	0	0	3
23	37	0	0.131399999	293.200821	293.20022	293.199785	293.200821	0.000283341135	0	0	0	0	0	3
24	38	0	0.137113042	293.20092	293.200249	293.199785	293.20092	0.000312523721	0	0	0	0	0	3
25	39	0	0.142826086	293.201024	293.20028	293.199785	293.201024	0.000343511885	0	0	0	0	0	3
26	41	0	0.148539129	293.201171	293.200314	293.199785	293.201171	0.000377803789	0	0	0	0	0	3
