Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00571304342	-11.1072259	-11.1072259	-11.1072259	-11.1072259	0	0	0	0	0	0	3
2	8	0	0.0114260868	-11.110903	-11.1090645	-11.110903	-11.1072259	0.00183852232	0	0	0	0	0	3
3	9	0	0.0171391303	-11.1306245	-11.1162511	-11.1306245	-11.1072259	0.00902520144	0	0	0	0	0	3
4	11	0	0.0228521737	-11.1007312	-11.1123711	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
5	12	0	0.0285652171	-11.1216408	-11.1142251	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
6	14	0	0.0342782605	-11.1118998	-11.1138375	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
7	16	0	0.0399913039	-11.1139685	-11.1138562	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
8	17	0	0.0457043474	-11.108949	-11.1132428	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
9	19	0	0.0514173908	-11.1103388	-11.1129202	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
10	20	0	0.0571304342	-11.1107463	-11.1127028	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
11	22	0	0.0628434776	-11.1106028	-11.1125119	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
12	23	0	0.068556521	-11.1096075	-11.1122698	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
13	24	0	0.0742695645	-11.1100985	-11.1121028	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
14	25	0	0.0799826079	-11.1100562	-11.1119566	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
15	27	0	0.0856956513	-11.1089286	-11.1117548	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
16	28	0	0.0914086947	-11.1101262	-11.111653	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
17	29	0	0.0971217381	-11.1099524	-11.1115529	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
18	31	0	0.102834782	-11.1091621	-11.1114201	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
19	32	0	0.108547825	-11.1098576	-11.1113379	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
20	33	0	0.114260868	-11.1094099	-11.1112415	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
21	34	0	0.119973912	-11.1096336	-11.1111649	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
22	35	0	0.125686955	-11.1092254	-11.1110768	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
23	37	0	0.131399999	-11.1097594	-11.1110195	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
24	38	0	0.137113042	-11.1098222	-11.1109696	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
25	39	0	0.142826086	-11.1095431	-11.1109125	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
26	41	0	0.148539129	-11.1094698	-11.110857	-11.1306245	-11.1007312	0.00902520144	0	0	0	0	0	3
