Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0129484509	-0.00985174513	-0.00985174513	-0.00985174513	-0.00985174513	0	0	0	0	0	0	3
2	1	0	0.0258969018	-0.0291587969	-0.019505271	-0.0291587969	-0.00985174513	0.00965352589	0	0	0	0	0	3
3	1	0	0.0388453527	-0.0112932381	-0.0167679267	-0.0291587969	-0.00985174513	0.00965352589	0	0	0	0	0	3
4	2	0	0.0517938036	-0.0244141533	-0.0186794834	-0.0291587969	-0.00985174513	0.00965352589	0	0	0	0	0	3
5	2	0	0.0647422545	-0.0273532586	-0.0204142384	-0.0291587969	-0.00985174513	0.0105624933	0	0	0	0	0	3
6	2	0	0.0776907054	-0.0414881722	-0.0239265607	-0.0414881722	-0.00985174513	0.0140748156	0	0	0	0	0	3
7	2	0	0.0906391563	-0.0338475542	-0.0253438455	-0.0414881722	-0.00985174513	0.0154921004	0	0	0	0	0	3
8	3	0	0.103587607	-0.0164849062	-0.0242364781	-0.0414881722	-0.00985174513	0.0154921004	0	0	0	0	0	3
9	3	0	0.116536058	-0.00399536192	-0.0219874652	-0.0414881722	-0.00399536192	0.0154921004	0	0	0	0	0	3
10	3	0	0.129484509	0.00364311454	-0.0194244072	-0.0414881722	0.00364311454	0.0154921004	0	0	0	0	0	3
11	3	0	0.14243296	0.00376057812	-0.0173166813	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
12	4	0	0.155381411	-0.013014171	-0.0169581387	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
13	4	0	0.168329862	-0.0239106566	-0.0174929478	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
14	4	0	0.181278313	-0.0245780834	-0.0179990289	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
15	4	0	0.194226763	-0.0285474394	-0.0187022563	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
16	4	0	0.207175214	-0.0261455703	-0.0191674634	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
17	5	0	0.220123665	-0.0253726856	-0.0195324765	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
18	5	0	0.233072116	-0.0268362497	-0.0199382417	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
19	5	0	0.246020567	-0.0278958688	-0.0203570642	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
20	5	0	0.258969018	-0.0304708527	-0.0208627536	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
21	6	0	0.271917469	-0.0355419006	-0.0215617606	-0.0414881722	0.00376057812	0.0154921004	0	0	0	0	0	3
22	6	0	0.28486592	-0.0420602211	-0.0224935088	-0.0420602211	0.00376057812	0.0154921004	0	0	0	0	0	3
23	6	0	0.297814371	-0.0504789795	-0.0237102684	-0.0504789795	0.00376057812	0.0154921004	0	0	0	0	0	3
24	6	0	0.310762821	-0.0609871119	-0.0252634702	-0.0609871119	0.00376057812	0.0154921004	0	0	0	0	0	3
25	7	0	0.323711272	-0.0737817751	-0.0272042024	-0.0737817751	0.00376057812	0.0173524573	0	0	0	0	0	3
26	7	0	0.336659723	-0.0933519111	-0.029748345	-0.0933519111	0.00376057812	0.0198965999	0	0	0	0	0	3
27	7	0	0.349608174	-0.113978779	-0.0328679908	-0.113978779	0.00376057812	0.0230162456	0	0	0	0	0	3
28	7	0	0.362556625	-0.135260959	-0.0365248825	-0.135260959	0.00376057812	0.0266731373	0	0	0	0	0	3
29	8	0	0.375505076	-0.155203969	-0.0406172648	-0.155203969	0.00376057812	0.0307655196	0	0	0	0	0	3
30	8	0	0.388453527	-0.171475337	-0.0449792005	-0.171475337	0.00376057812	0.0351274554	0	0	0	0	0	3
31	8	0	0.401401978	-0.190927265	-0.0496872026	-0.190927265	0.00376057812	0.0398354575	0	0	0	0	0	3
32	8	0	0.414350429	-0.208005576	-0.0546346517	-0.208005576	0.00376057812	0.0447829066	0	0	0	0	0	3
33	8	0	0.42729888	-0.223274319	-0.0597449447	-0.223274319	0.00376057812	0.0498931996	0	0	0	0	0	3
34	9	0	0.44024733	-0.237600635	-0.0649759944	-0.237600635	0.00376057812	0.0551242493	0	0	0	0	0	3
35	9	0	0.453195781	-0.25194358	-0.0703179255	-0.25194358	0.00376057812	0.0604661803	0	0	0	0	0	3
36	9	0	0.466144232	-0.271234305	-0.075898936	-0.271234305	0.00376057812	0.0660471909	0	0	0	0	0	3
37	9	0	0.479092683	-0.289897585	-0.0816826833	-0.289897585	0.00376057812	0.0718309382	0	0	0	0	0	3
38	10	0	0.492041134	-0.309559985	-0.0876794544	-0.309559985	0.00376057812	0.0778277092	0	0	0	0	0	3
39	10	0	0.504989585	-0.329071233	-0.0938689872	-0.329071233	0.00376057812	0.084017242	0	0	0	0	0	3
40	10	0	0.517938036	-0.34778816	-0.102534023	-0.34778816	0.00376057812	0.0857660967	0	0	0	0	0	3
41	10	0	0.530886487	-0.372396836	-0.111334999	-0.372396836	0.00376057812	0.0945670721	0	0	0	0	0	3
42	10	0	0.543834938	-0.393674504	-0.121139647	-0.393674504	0.00376057812	0.104181508	0	0	0	0	0	3
