Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0129484509	1.20326358	1.20326358	1.20326358	1.20326358	0	0	0	0	0	0	3
2	1	0	0.0258969018	18.6076396	9.90545157	1.20326358	18.6076396	8.70218799	0	0	0	0	0	3
3	1	0	0.0388453527	11.0729913	10.2946315	1.20326358	18.6076396	9.09136789	0	0	0	0	0	3
4	2	0	0.0517938036	9.92184314	10.2014344	1.20326358	18.6076396	9.09136789	0	0	0	0	0	3
5	2	0	0.0647422545	10.1159475	10.184337	1.20326358	18.6076396	9.09136789	0	0	0	0	0	3
6	2	0	0.0776907054	18.6537946	11.5959133	1.20326358	18.6537946	10.3926497	0	0	0	0	0	3
7	2	0	0.0906391563	21.8350766	13.0586509	1.20326358	21.8350766	11.8553873	0	0	0	0	0	3
8	3	0	0.103587607	-2.45242153	11.1197668	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
9	3	0	0.116536058	-1.27300046	9.7427927	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
10	3	0	0.129484509	-1.78390429	8.590123	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
11	3	0	0.14243296	6.50514489	8.40057954	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
12	4	0	0.155381411	-0.270955115	7.67795165	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
13	4	0	0.168329862	10.1394552	7.86729808	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
14	4	0	0.181278313	14.6262197	8.35007819	-2.45242153	21.8350766	11.8553873	0	0	0	0	0	3
15	4	0	0.194226763	24.1051893	9.40041893	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
16	4	0	0.207175214	23.6652144	10.2919686	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
17	5	0	0.220123665	17.1228459	10.693785	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
18	5	0	0.233072116	15.6398568	10.9685667	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
19	5	0	0.246020567	16.6782446	11.2690761	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
20	5	0	0.258969018	11.3432223	11.2727834	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
21	6	0	0.271917469	10.5529961	11.2385078	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
22	6	0	0.28486592	8.55659996	11.1166029	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
23	6	0	0.297814371	6.25671174	10.9053033	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
24	6	0	0.310762821	5.43026908	10.6771769	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
25	7	0	0.323711272	5.28587295	10.4615247	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
26	7	0	0.336659723	6.29282962	10.3011903	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
27	7	0	0.349608174	7.45916657	10.1959301	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
28	7	0	0.362556625	8.99651166	10.1530938	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
29	8	0	0.375505076	9.42811348	10.1280945	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
30	8	0	0.388453527	10.6749766	10.1463239	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
31	8	0	0.401401978	10.5982881	10.1609033	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
32	8	0	0.414350429	9.55870406	10.1420846	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
33	8	0	0.42729888	8.31411202	10.0866915	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
34	9	0	0.44024733	7.02751223	9.99671565	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
35	9	0	0.453195781	5.65462657	9.87265596	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
36	9	0	0.466144232	4.80738304	9.73195393	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
37	9	0	0.479092683	3.8527892	9.57305759	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
38	10	0	0.492041134	3.14762335	9.40396722	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
39	10	0	0.504989585	2.51938886	9.22743957	-2.45242153	24.1051893	11.8553873	0	0	0	0	0	3
40	10	0	0.517938036	1.75169506	9.24150191	-2.45242153	24.1051893	5.38069925	0	0	0	0	0	3
41	10	0	0.530886487	1.8122205	8.81085014	-2.45242153	24.1051893	5.38069925	0	0	0	0	0	3
42	10	0	0.543834938	1.4302842	8.56360124	-2.45242153	24.1051893	5.38069925	0	0	0	0	0	3
43	11	0	0.556783388	0.356130626	8.31832656	-2.45242153	24.1051893	5.38069925	0	0	0	0	0	3
44	11	0	0.569731839	-0.26460736	8.05215849	-2.45242153	24.1051893	5.38069925	0	0	0	0	0	3
45	11	0	0.58268029	-0.70255574	7.55584181	-2.45242153	24.1051893	5.50280909	0	0	0	0	0	3
46	11	0	0.595628741	-1.24922639	6.96393661	-2.45242153	24.1051893	4.30884679	0	0	0	0	0	3
47	12	0	0.608577192	-1.71143554	6.98293625	-1.78390429	24.1051893	4.30884679	0	0	0	0	0	3
48	12	0	0.621525643	-2.18833339	6.95946617	-2.18833339	24.1051893	4.31331723	0	0	0	0	0	3
49	12	0	0.634474094	-2.57770006	6.93911243	-2.57770006	24.1051893	4.33367096	0	0	0	0	0	3
50	12	0	0.647422545	-2.8793092	6.69848541	-2.8793092	24.1051893	4.57429799	0	0	0	0	0	3
