Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0129484509	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0258969018	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0388453527	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0517938036	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0647422545	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0776907054	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.0906391563	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.103587607	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.116536058	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.129484509	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.14243296	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.155381411	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.168329862	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.181278313	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.194226763	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.207175214	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.220123665	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.233072116	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.246020567	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.258969018	0	0	0	0	0	0	0	0	0	0	3
21	6	0	0.271917469	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.28486592	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.297814371	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.310762821	0	0	0	0	0	0	0	0	0	0	3
25	7	0	0.323711272	0	0	0	0	0	0	0	0	0	0	3
26	7	0	0.336659723	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.349608174	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.362556625	0	0	0	0	0	0	0	0	0	0	3
29	8	0	0.375505076	0	0	0	0	0	0	0	0	0	0	3
30	8	0	0.388453527	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.401401978	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.414350429	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.42729888	0	0	0	0	0	0	0	0	0	0	3
34	9	0	0.44024733	0	0	0	0	0	0	0	0	0	0	3
35	9	0	0.453195781	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.466144232	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.479092683	0	0	0	0	0	0	0	0	0	0	3
38	10	0	0.492041134	0	0	0	0	0	0	0	0	0	0	3
39	10	0	0.504989585	0	0	0	0	0	0	0	0	0	0	3
40	10	0	0.517938036	0	0	0	0	0	0	0	0	0	0	3
41	10	0	0.530886487	0	0	0	0	0	0	0	0	0	0	3
42	10	0	0.543834938	0	0	0	0	0	0	0	0	0	0	3
43	11	0	0.556783388	0	0	0	0	0	0	0	0	0	0	3
44	11	0	0.569731839	0	0	0	0	0	0	0	0	0	0	3
45	11	0	0.58268029	0	0	0	0	0	0	0	0	0	0	3
46	11	0	0.595628741	0	0	0	0	0	0	0	0	0	0	3
47	12	0	0.608577192	0	0	0	0	0	0	0	0	0	0	3
48	12	0	0.621525643	0	0	0	0	0	0	0	0	0	0	3
