Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0129484509	101509.526	101509.526	101509.526	101509.526	0	0	0	0	0	0	3
2	1	0	0.0258969018	102787.016	102148.271	101509.526	102787.016	638.7451	0	0	0	0	0	3
3	1	0	0.0388453527	98183.4972	100826.68	98183.4972	102787.016	1321.59123	0	0	0	0	0	3
4	2	0	0.0517938036	94148.064	99157.0258	94148.064	102787.016	2991.24514	0	0	0	0	0	3
5	2	0	0.0647422545	95483.4951	98422.3196	94148.064	102787.016	3725.95127	0	0	0	0	0	3
6	2	0	0.0776907054	93846.5908	97659.6981	93846.5908	102787.016	4488.57275	0	0	0	0	0	3
7	2	0	0.0906391563	96248.3762	97458.0807	93846.5908	102787.016	4690.19017	0	0	0	0	0	3
8	3	0	0.103587607	94666.7834	97109.1686	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
9	3	0	0.116536058	98377.2434	97250.0658	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
10	3	0	0.129484509	97687.8171	97293.8409	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
11	3	0	0.14243296	100126.149	97551.3234	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
12	4	0	0.155381411	98797.5028	97655.1717	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
13	4	0	0.168329862	100419.936	97867.8459	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
14	4	0	0.181278313	100661.804	98067.4143	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
15	4	0	0.194226763	100728.915	98244.8477	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
16	4	0	0.207175214	100820.031	98405.7967	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
17	5	0	0.220123665	100870.812	98550.7976	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
18	5	0	0.233072116	101004.133	98687.094	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
19	5	0	0.246020567	101058.936	98811.9278	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
20	5	0	0.258969018	101116.438	98927.1533	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
21	6	0	0.271917469	101151.949	99033.0959	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
22	6	0	0.28486592	101195.21	99131.3738	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
23	6	0	0.297814371	101248.324	99223.4151	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
24	6	0	0.310762821	101294.392	99309.7058	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
25	7	0	0.323711272	101347.003	99391.1977	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
26	7	0	0.336659723	101368.768	99467.2581	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
27	7	0	0.349608174	101391.742	99538.5353	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
28	7	0	0.362556625	101407.684	99605.2906	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
29	8	0	0.375505076	101388.155	99666.7687	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
30	8	0	0.388453527	101374.548	99723.6947	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
31	8	0	0.401401978	101332.409	99775.5887	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
32	8	0	0.414350429	101310.52	99823.5553	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
33	8	0	0.42729888	101299.595	99868.2838	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
34	9	0	0.44024733	101298.505	99910.3491	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
35	9	0	0.453195781	101305.394	99950.2075	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
36	9	0	0.466144232	101308.036	99987.925	93846.5908	102787.016	5039.10234	0	0	0	0	0	3
