Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0129484509	293.13332	293.13332	293.13332	293.13332	0	0	0	0	0	0	3
2	1	0	0.0258969018	293.141193	293.137257	293.13332	293.141193	0.00393648081	0	0	0	0	0	3
3	1	0	0.0388453527	293.153982	293.142832	293.13332	293.153982	0.0095116433	0	0	0	0	0	3
4	2	0	0.0517938036	293.152793	293.145322	293.13332	293.153982	0.0120019737	0	0	0	0	0	3
5	2	0	0.0647422545	292.823903	293.081039	292.823903	293.153982	0.0642838714	0	0	0	0	0	3
6	2	0	0.0776907054	292.347708	292.958817	292.347708	293.153982	0.186505549	0	0	0	0	0	3
7	2	0	0.0906391563	292.09669	292.835656	292.09669	293.153982	0.30966658	0	0	0	0	0	3
8	3	0	0.103587607	291.907817	292.719676	291.907817	293.153982	0.425646448	0	0	0	0	0	3
9	3	0	0.116536058	291.754791	292.612466	291.754791	293.153982	0.532855903	0	0	0	0	0	3
10	3	0	0.129484509	291.637432	292.514963	291.637432	293.153982	0.630359318	0	0	0	0	0	3
11	3	0	0.14243296	291.512931	292.423869	291.512931	293.153982	0.721453178	0	0	0	0	0	3
12	4	0	0.155381411	291.429719	292.341023	291.429719	293.153982	0.804298993	0	0	0	0	0	3
13	4	0	0.168329862	291.383249	292.267348	291.383249	293.153982	0.877973916	0	0	0	0	0	3
14	4	0	0.181278313	291.352006	292.201967	291.352006	293.153982	0.943355557	0	0	0	0	0	3
15	4	0	0.194226763	291.334804	292.144156	291.334804	293.153982	1.00116644	0	0	0	0	0	3
16	4	0	0.207175214	291.318394	292.092546	291.318394	293.153982	1.05277657	0	0	0	0	0	3
17	5	0	0.220123665	291.31658	292.046901	291.31658	293.153982	1.09842159	0	0	0	0	0	3
18	5	0	0.233072116	291.322701	292.006667	291.31658	293.153982	1.13865493	0	0	0	0	0	3
19	5	0	0.246020567	291.339228	291.971539	291.31658	293.153982	1.17378335	0	0	0	0	0	3
20	5	0	0.258969018	291.362118	291.941068	291.31658	293.153982	1.20425443	0	0	0	0	0	3
21	6	0	0.271917469	291.382582	291.914473	291.31658	293.153982	1.23084899	0	0	0	0	0	3
22	6	0	0.28486592	291.408515	291.891475	291.31658	293.153982	1.2538471	0	0	0	0	0	3
23	6	0	0.297814371	291.437063	291.871718	291.31658	293.153982	1.27360416	0	0	0	0	0	3
24	6	0	0.310762821	291.466634	291.85484	291.31658	293.153982	1.29048269	0	0	0	0	0	3
25	7	0	0.323711272	291.496145	291.840492	291.31658	293.153982	1.30483047	0	0	0	0	0	3
26	7	0	0.336659723	291.526117	291.828401	291.31658	293.153982	1.3169218	0	0	0	0	0	3
27	7	0	0.349608174	291.556629	291.818335	291.31658	293.153982	1.32698742	0	0	0	0	0	3
28	7	0	0.362556625	291.587468	291.81009	291.31658	293.153982	1.33523265	0	0	0	0	0	3
29	8	0	0.375505076	291.619878	291.803531	291.31658	293.153982	1.34179167	0	0	0	0	0	3
30	8	0	0.388453527	291.653362	291.798525	291.31658	293.153982	1.34679729	0	0	0	0	0	3
31	8	0	0.401401978	291.699111	291.795318	291.31658	293.153982	1.3500042	0	0	0	0	0	3
32	8	0	0.414350429	291.748	291.79384	291.31658	293.153982	1.35148289	0	0	0	0	0	3
33	8	0	0.42729888	291.799421	291.794009	291.31658	293.153982	1.35148289	0	0	0	0	0	3
34	9	0	0.44024733	291.852096	291.795717	291.31658	293.153982	1.35148289	0	0	0	0	0	3
35	9	0	0.453195781	291.905397	291.798851	291.31658	293.153982	1.35148289	0	0	0	0	0	3
36	9	0	0.466144232	291.980037	291.803884	291.31658	293.153982	1.35148289	0	0	0	0	0	3
37	9	0	0.479092683	292.054279	291.810651	291.31658	293.153982	1.35148289	0	0	0	0	0	3
38	10	0	0.492041134	292.127655	291.818993	291.31658	293.153982	1.35148289	0	0	0	0	0	3
39	10	0	0.504989585	292.200261	291.828769	291.31658	293.153982	1.35148289	0	0	0	0	0	3
40	10	0	0.517938036	292.272061	291.806686	291.31658	293.153982	1.35148289	0	0	0	0	0	3
41	10	0	0.530886487	292.3722	291.786968	291.31658	293.153982	1.35835425	0	0	0	0	0	3
42	10	0	0.543834938	292.468844	291.769401	291.31658	293.152793	1.37592189	0	0	0	0	0	3
43	11	0	0.556783388	292.561061	291.754228	291.31658	292.823903	1.32681065	0	0	0	0	0	3
44	11	0	0.569731839	292.6483	291.749725	291.31658	292.6483	1.20909161	0	0	0	0	0	3
45	11	0	0.58268029	292.731226	291.759559	291.31658	292.731226	1.08593058	0	0	0	0	0	3
46	11	0	0.595628741	292.809594	291.777839	291.31658	292.809594	0.96995071	0	0	0	0	0	3
47	12	0	0.608577192	292.884087	291.802871	291.31658	292.884087	0.862741255	0	0	0	0	0	3
48	12	0	0.621525643	292.954987	291.833645	291.31658	292.954987	0.76523784	0	0	0	0	0	3
49	12	0	0.634474094	293.022303	291.869155	291.31658	293.022303	0.674143981	0	0	0	0	0	3
50	12	0	0.647422545	293.086394	291.9095	291.31658	293.086394	0.591298166	0	0	0	0	0	3
51	12	0	0.660370996	293.147374	291.953543	291.31658	293.147374	0.517623242	0	0	0	0	0	3
52	13	0	0.673319447	293.205405	292.000265	291.31658	293.205405	0.452241601	0	0	0	0	0	3
53	13	0	0.686267897	293.26059	292.049203	291.31658	293.26059	0.394430721	0	0	0	0	0	3
54	13	0	0.699216348	293.312956	292.099924	291.31658	293.312956	0.350199203	0	0	0	0	0	3
55	13	0	0.712164799	293.362561	292.152339	291.31658	293.362561	0.402613754	0	0	0	0	0	3
56	13	0	0.72511325	293.409212	292.205996	291.322701	293.409212	0.456270976	0	0	0	0	0	3
57	14	0	0.738061701	293.453348	292.260628	291.339228	293.453348	0.510902956	0	0	0	0	0	3
58	14	0	0.751010152	293.494878	292.315901	291.362118	293.494878	0.566176032	0	0	0	0	0	3
59	14	0	0.763958603	293.534107	292.371593	291.382582	293.534107	0.621868059	0	0	0	0	0	3
60	14	0	0.776907054	293.571099	292.427709	291.408515	293.571099	0.677983877	0	0	0	0	0	3
61	14	0	0.789855505	293.606022	292.484055	291.437063	293.606022	0.73433022	0	0	0	0	0	3
62	15	0	0.802803955	293.638989	292.540515	291.466634	293.638989	0.790789855	0	0	0	0	0	3
63	15	0	0.815752406	293.670084	292.597014	291.496145	293.670084	0.847288574	0	0	0	0	0	3
64	15	0	0.828700857	293.699355	292.653506	291.526117	293.699355	0.903781134	0	0	0	0	0	3
65	15	0	0.841649308	293.726869	292.709936	291.556629	293.726869	0.960210659	0	0	0	0	0	3
66	16	0	0.854597759	293.752578	292.766242	291.587468	293.752578	1.01651704	0	0	0	0	0	3
67	16	0	0.86754621	293.776471	292.822371	291.619878	293.776471	1.07264532	0	0	0	0	0	3
68	16	0	0.880494661	293.79856	292.878234	291.653362	293.79856	1.12850895	0	0	0	0	0	3
69	16	0	0.893443112	293.818785	292.933758	291.699111	293.818785	1.18403261	0	0	0	0	0	3
70	16	0	0.906391563	293.837101	292.988578	291.748	293.837101	1.23885287	0	0	0	0	0	3
71	17	0	0.919340014	293.853413	293.042563	291.799421	293.853413	1.29283782	0	0	0	0	0	3
72	17	0	0.932288464	293.867896	293.095601	291.852096	293.867896	1.34587566	0	0	0	0	0	3
73	17	0	0.945236915	293.880445	293.14761	291.905397	293.880445	1.39788463	0	0	0	0	0	3
74	17	0	0.958185366	293.89125	293.198529	291.980037	293.89125	1.44880393	0	0	0	0	0	3
75	17	0	0.971133817	293.900386	293.247769	292.054279	293.900386	1.49804364	0	0	0	0	0	3
76	18	0	0.984082268	293.907914	293.295298	292.127655	293.907914	1.54557272	0	0	0	0	0	3
77	18	0	0.997030719	293.913914	293.341099	292.200261	293.913914	1.59137423	0	0	0	0	0	3
78	18	0	1.00997917	293.918423	293.385155	292.272061	293.918423	1.63542966	0.0780552708	0	0	0	0	3
79	18	0	1.02292762	293.921593	293.427451	292.3722	293.921593	1.54939326	0.0781503859	0	0	0	0	3
80	19	0	1.03587607	293.923515	293.467228	292.468844	293.923515	1.4546705	0.0781792103	0	0	0	0	3
81	19	0	1.04882452	293.924199	293.504545	292.561061	293.924199	1.36313762	0.0781956543	0	0	0	0	3
82	19	0	1.06177297	293.923776	293.539486	292.6483	293.924199	1.2758985	0.0782038763	0	0	0	0	3
83	19	0	1.07472142	293.922359	293.572154	292.731226	293.924199	1.19297261	0.0782088095	0	0	0	0	3
84	19	0	1.08766988	293.920002	293.602636	292.809594	293.924199	1.11460421	0.0782120983	0	0	0	0	3
85	20	0	1.10061833	293.916828	293.631026	292.884087	293.924199	1.04011152	0.0782144475	0	0	0	0	3
86	20	0	1.11356678	293.912904	293.657406	292.954987	293.924199	0.96921169	0.0782162093	0	0	0	0	3
87	20	0	1.12651523	293.908302	293.68185	293.022303	293.924199	0.901895108	0.0782175797	0	0	0	0	3
88	20	0	1.13946368	293.902947	293.704431	293.086394	293.924199	0.837804386	0.0782186759	0	0	0	0	3
89	20	0	1.15241213	293.896844	293.725212	293.147374	293.924199	0.776824852	0.0782195729	0	0	0	0	3
90	21	0	1.16536058	293.890146	293.744257	293.205405	293.924199	0.718793324	0.0782203203	0	0	0	0	3
91	21	0	1.17830903	293.883049	293.761633	293.26059	293.924199	0.663609002	0.0782209528	0	0	0	0	3
92	21	0	1.19125748	293.87582	293.777408	293.312956	293.924199	0.611242651	0.0782214949	0	0	0	0	3
93	21	0	1.20420593	293.86872	293.791658	293.362561	293.924199	0.561637177	0.0782219647	0	0	0	0	3
94	22	0	1.21715438	293.861916	293.804462	293.409212	293.924199	0.51498643	0.0782223758	0	0	0	0	3
95	22	0	1.23010284	293.85544	293.815904	293.453348	293.924199	0.470850596	0.0782119381	0	0	0	0	3
96	22	0	1.24305129	293.849273	293.826056	293.494878	293.924199	0.429320975	0.0781751153	0	0	0	0	3
97	22	0	1.25599974	293.843021	293.834982	293.534107	293.924199	0.390091928	0.0781060266	0	0	0	0	3
98	22	0	1.26894819	293.836506	293.842736	293.571099	293.924199	0.353099375	0.0780552708	0	0	0	0	3
99	23	0	1.28189664	293.829982	293.849374	293.606022	293.924199	0.31817621	0.0780552708	0	0	0	0	3
100	23	0	1.29484509	293.823387	293.854948	293.638989	293.924199	0.285209828	0.0780552708	0	0	0	0	3
101	23	0	1.30779354	293.816443	293.859498	293.670084	293.924199	0.254114949	0.0780552708	0	0	0	0	3
102	24	0	1.32074199	293.809241	293.863066	293.699355	293.924199	0.224843491	0.0780552708	0	0	0	0	3
103	24	0	1.33369044	293.801756	293.865692	293.726869	293.924199	0.19732963	0.0780552708	0	0	0	0	3
104	24	0	1.34663889	293.794021	293.867414	293.752578	293.924199	0.171620859	0.0780552708	0	0	0	0	3
105	24	0	1.35958734	293.78606	293.868272	293.776471	293.924199	0.147727276	0.0780552708	0	0	0	0	3
106	25	0	1.37253579	293.777866	293.868308	293.777866	293.924199	0.14633227	0.0780552708	0	0	0	0	3
107	25	0	1.38548425	293.769403	293.86756	293.769403	293.924199	0.154795303	0.0780552708	0	0	0	0	3
108	25	0	1.3984327	293.760594	293.866068	293.760594	293.924199	0.163604916	0.0780552708	0	0	0	0	3
109	25	0	1.41138115	293.751677	293.863878	293.751677	293.924199	0.172521763	0.0780552708	0	0	0	0	3
110	25	0	1.4243296	293.742603	293.861036	293.742603	293.924199	0.181595438	0.0780552708	0	0	0	0	3
111	26	0	1.43727805	293.73336	293.857587	293.73336	293.924199	0.190838799	0.0780552708	0	0	0	0	3
112	26	0	1.4502265	293.723343	293.853559	293.723343	293.924199	0.200855944	0.0780552708	0	0	0	0	3
