Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0129484509
2	1	0	0.0258969018
3	1	0	0.0388453527
4	2	0	0.0517938036
5	2	0	0.0647422545
6	2	0	0.0776907054
7	2	0	0.0906391563
8	3	0	0.103587607
9	3	0	0.116536058
10	3	0	0.129484509
11	3	0	0.14243296
12	4	0	0.155381411
13	4	0	0.168329862
14	4	0	0.181278313
15	4	0	0.194226763
16	4	0	0.207175214
17	5	0	0.220123665
18	5	0	0.233072116
19	5	0	0.246020567
20	5	0	0.258969018
21	6	0	0.271917469
22	6	0	0.28486592
23	6	0	0.297814371
24	6	0	0.310762821
25	7	0	0.323711272
26	7	0	0.336659723
27	7	0	0.349608174
28	7	0	0.362556625
29	8	0	0.375505076
30	8	0	0.388453527
31	8	0	0.401401978
32	8	0	0.414350429
33	8	0	0.42729888
34	9	0	0.44024733
35	9	0	0.453195781
36	9	0	0.466144232
37	9	0	0.479092683
38	10	0	0.492041134
39	10	0	0.504989585
40	10	0	0.517938036
41	10	0	0.530886487
42	10	0	0.543834938
43	11	0	0.556783388
44	11	0	0.569731839
45	11	0	0.58268029
46	11	0	0.595628741
47	12	0	0.608577192
48	12	0	0.621525643
49	12	0	0.634474094
50	12	0	0.647422545
51	12	0	0.660370996
52	13	0	0.673319447
53	13	0	0.686267897
54	13	0	0.699216348
55	13	0	0.712164799
56	13	0	0.72511325
57	14	0	0.738061701
58	14	0	0.751010152
59	14	0	0.763958603
60	14	0	0.776907054
61	14	0	0.789855505
62	15	0	0.802803955
63	15	0	0.815752406
64	15	0	0.828700857
65	15	0	0.841649308
66	16	0	0.854597759
67	16	0	0.86754621
68	16	0	0.880494661
69	16	0	0.893443112
70	16	0	0.906391563
71	17	0	0.919340014
72	17	0	0.932288464
73	17	0	0.945236915
74	17	0	0.958185366
75	17	0	0.971133817
76	18	0	0.984082268
77	18	0	0.997030719
78	18	0	1.00997917
79	18	0	1.02292762
80	19	0	1.03587607
81	19	0	1.04882452
82	19	0	1.06177297
83	19	0	1.07472142
84	19	0	1.08766988
85	20	0	1.10061833
86	20	0	1.11356678
87	20	0	1.12651523
88	20	0	1.13946368
89	20	0	1.15241213
90	21	0	1.16536058
91	21	0	1.17830903
92	21	0	1.19125748
93	21	0	1.20420593
94	22	0	1.21715438
95	22	0	1.23010284
96	22	0	1.24305129
97	22	0	1.25599974
98	22	0	1.26894819
99	23	0	1.28189664
100	23	0	1.29484509
101	23	0	1.30779354
102	24	0	1.32074199
103	24	0	1.33369044
104	24	0	1.34663889
105	24	0	1.35958734
106	25	0	1.37253579
107	25	0	1.38548425
108	25	0	1.3984327
109	25	0	1.41138115
110	25	0	1.4243296
111	26	0	1.43727805
112	26	0	1.4502265
113	26	0	1.46317495
114	26	0	1.4761234
115	26	0	1.48907185
116	27	0	1.5020203
117	27	0	1.51496875
118	27	0	1.52791721
119	27	0	1.54086566
120	27	0	1.55381411
121	28	0	1.56676256
122	28	0	1.57971101
123	28	0	1.59265946
124	28	0	1.60560791
125	29	0	1.61855636
126	29	0	1.63150481
127	29	0	1.64445326
128	29	0	1.65740171
129	29	0	1.67035017
130	30	0	1.68329862
131	30	0	1.69624707
132	30	0	1.70919552
133	30	0	1.72214397
134	30	0	1.73509242
135	31	0	1.74804087
136	31	0	1.76098932
137	31	0	1.77393777
138	31	0	1.78688622
139	32	0	1.79983467
140	32	0	1.81278313
141	32	0	1.82573158
142	32	0	1.83868003
143	32	0	1.85162848
144	33	0	1.86457693
145	33	0	1.87752538
146	33	0	1.89047383
147	33	0	1.90342228
148	34	0	1.91637073
149	34	0	1.92931918
150	34	0	1.94226763
151	34	0	1.95521609
152	35	0	1.96816454
153	35	0	1.98111299
154	35	0	1.99406144
155	35	0	2.00700989
156	35	0	2.01995834
157	36	0	2.03290679
158	36	0	2.04585524
159	36	0	2.05880369
160	36	0	2.07175214
161	37	0	2.08470059
162	37	0	2.09764904
163	37	0	2.1105975
164	37	0	2.12354595
165	38	0	2.1364944
166	38	0	2.14944285
167	38	0	2.1623913
168	38	0	2.17533975
169	38	0	2.1882882
170	39	0	2.20123665
171	39	0	2.2141851
172	39	0	2.22713355
173	39	0	2.240082
174	40	0	2.25303046
175	40	0	2.26597891
176	40	0	2.27892736
177	40	0	2.29187581
178	40	0	2.30482426
179	41	0	2.31777271
180	41	0	2.33072116
181	41	0	2.34366961
182	41	0	2.35661806
183	42	0	2.36956651
184	42	0	2.38251496
185	42	0	2.39546342
186	42	0	2.40841187
187	42	0	2.42136032
188	43	0	2.43430877
189	43	0	2.44725722
190	43	0	2.46020567
191	43	0	2.47315412
192	44	0	2.48610257
193	44	0	2.49905102
194	44	0	2.51199947
195	44	0	2.52494792
196	44	0	2.53789638
197	45	0	2.55084483
198	45	0	2.56379328
199	45	0	2.57674173
200	45	0	2.58969018
201	46	0	2.60263863
202	46	0	2.61558708
203	46	0	2.62853553
204	47	0	2.64148398
