Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0083730217	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0167460434	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0251190651	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0334920868	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0418651085	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0502381302	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.0586111519	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.0669841736	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.0753571953	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.083730217	0	0	0	0	0	0	0	0	0	0	3
11	9	0	0.0921032387	0	0	0	0	0	0	0	0	0	0	3
12	9	0	0.10047626	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.108849282	0	0	0	0	0	0	0	0	0	0	3
14	10	0	0.117222304	0	0	0	0	0	0	0	0	0	0	3
15	10	0	0.125595325	0	0	0	0	0	0	0	0	0	0	3
16	11	0	0.133968347	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.142341369	0	0	0	0	0	0	0	0	0	0	3
18	12	0	0.150714391	0	0	0	0	0	0	0	0	0	0	3
19	12	0	0.159087412	0	0	0	0	0	0	0	0	0	0	3
20	13	0	0.167460434	0	0	0	0	0	0	0	0	0	0	3
21	13	0	0.175833456	0	0	0	0	0	0	0	0	0	0	3
22	14	0	0.184206477	0	0	0	0	0	0	0	0	0	0	3
23	14	0	0.192579499	0	0	0	0	0	0	0	0	0	0	3
24	15	0	0.200952521	0	0	0	0	0	0	0	0	0	0	3
25	15	0	0.209325542	0	0	0	0	0	0	0	0	0	0	3
26	16	0	0.217698564	0	0	0	0	0	0	0	0	0	0	3
27	16	0	0.226071586	0	0	0	0	0	0	0	0	0	0	3
28	17	0	0.234444608	0	0	0	0	0	0	0	0	0	0	3
29	17	0	0.242817629	0	0	0	0	0	0	0	0	0	0	3
30	18	0	0.251190651	0	0	0	0	0	0	0	0	0	0	3
31	18	0	0.259563673	0	0	0	0	0	0	0	0	0	0	3
32	19	0	0.267936694	0	0	0	0	0	0	0	0	0	0	3
33	19	0	0.276309716	0	0	0	0	0	0	0	0	0	0	3
34	20	0	0.284682738	0	0	0	0	0	0	0	0	0	0	3
35	20	0	0.293055759	0	0	0	0	0	0	0	0	0	0	3
36	21	0	0.301428781	0	0	0	0	0	0	0	0	0	0	3
37	21	0	0.309801803	0	0	0	0	0	0	0	0	0	0	3
38	22	0	0.318174825	0	0	0	0	0	0	0	0	0	0	3
39	22	0	0.326547846	0	0	0	0	0	0	0	0	0	0	3
40	23	0	0.334920868	0	0	0	0	0	0	0	0	0	0	3
41	23	0	0.34329389	0	0	0	0	0	0	0	0	0	0	3
42	24	0	0.351666911	0	0	0	0	0	0	0	0	0	0	3
43	24	0	0.360039933	0	0	0	0	0	0	0	0	0	0	3
44	25	0	0.368412955	0	0	0	0	0	0	0	0	0	0	3
45	25	0	0.376785976	0	0	0	0	0	0	0	0	0	0	3
46	26	0	0.385158998	0	0	0	0	0	0	0	0	0	0	3
47	26	0	0.39353202	0	0	0	0	0	0	0	0	0	0	3
48	27	0	0.401905042	0	0	0	0	0	0	0	0	0	0	3
49	28	0	0.410278063	0	0	0	0	0	0	0	0	0	0	3
50	28	0	0.418651085	0	0	0	0	0	0	0	0	0	0	3
51	29	0	0.427024107	0	0	0	0	0	0	0	0	0	0	3
52	29	0	0.435397128	0	0	0	0	0	0	0	0	0	0	3
53	30	0	0.44377015	0	0	0	0	0	0	0	0	0	0	3
54	30	0	0.452143172	0	0	0	0	0	0	0	0	0	0	3
55	31	0	0.460516193	0	0	0	0	0	0	0	0	0	0	3
56	31	0	0.468889215	0	0	0	0	0	0	0	0	0	0	3
57	32	0	0.477262237	0	0	0	0	0	0	0	0	0	0	3
58	32	0	0.485635259	0	0	0	0	0	0	0	0	0	0	3
59	33	0	0.49400828	0	0	0	0	0	0	0	0	0	0	3
60	34	0	0.502381302	0	0	0	0	0	0	0	0	0	0	3
61	34	0	0.510754324	0	0	0	0	0	0	0	0	0	0	3
62	35	0	0.519127345	0	0	0	0	0	0	0	0	0	0	3
63	35	0	0.527500367	0	0	0	0	0	0	0	0	0	0	3
64	36	0	0.535873389	0	0	0	0	0	0	0	0	0	0	3
65	36	0	0.54424641	0	0	0	0	0	0	0	0	0	0	3
66	37	0	0.552619432	0	0	0	0	0	0	0	0	0	0	3
67	38	0	0.560992454	0	0	0	0	0	0	0	0	0	0	3
68	38	0	0.569365476	0	0	0	0	0	0	0	0	0	0	3
69	39	0	0.577738497	0	0	0	0	0	0	0	0	0	0	3
70	39	0	0.586111519	0	0	0	0	0	0	0	0	0	0	3
71	40	0	0.594484541	0	0	0	0	0	0	0	0	0	0	3
72	40	0	0.602857562	0	0	0	0	0	0	0	0	0	0	3
73	41	0	0.611230584	0	0	0	0	0	0	0	0	0	0	3
74	42	0	0.619603606	0	0	0	0	0	0	0	0	0	0	3
75	42	0	0.627976627	0	0	0	0	0	0	0	0	0	0	3
76	43	0	0.636349649	0	0	0	0	0	0	0	0	0	0	3
77	43	0	0.644722671	0	0	0	0	0	0	0	0	0	0	3
78	44	0	0.653095693	0	0	0	0	0	0	0	0	0	0	3
79	44	0	0.661468714	0	0	0	0	0	0	0	0	0	0	3
80	45	0	0.669841736	0	0	0	0	0	0	0	0	0	0	3
81	45	0	0.678214758	0	0	0	0	0	0	0	0	0	0	3
82	46	0	0.686587779	0	0	0	0	0	0	0	0	0	0	3
83	47	0	0.694960801	0	0	0	0	0	0	0	0	0	0	3
84	47	0	0.703333823	0	0	0	0	0	0	0	0	0	0	3
85	48	0	0.711706844	0	0	0	0	0	0	0	0	0	0	3
86	48	0	0.720079866	0	0	0	0	0	0	0	0	0	0	3
87	49	0	0.728452888	0	0	0	0	0	0	0	0	0	0	3
88	49	0	0.73682591	0	0	0	0	0	0	0	0	0	0	3
89	50	0	0.745198931	0	0	0	0	0	0	0	0	0	0	3
90	50	0	0.753571953	0	0	0	0	0	0	0	0	0	0	3
91	51	0	0.761944975	0	0	0	0	0	0	0	0	0	0	3
92	52	0	0.770317996	0	0	0	0	0	0	0	0	0	0	3
93	52	0	0.778691018	0	0	0	0	0	0	0	0	0	0	3
94	53	0	0.78706404	0	0	0	0	0	0	0	0	0	0	3
95	53	0	0.795437061	0	0	0	0	0	0	0	0	0	0	3
96	54	0	0.803810083	0	0	0	0	0	0	0	0	0	0	3
97	54	0	0.812183105	0	0	0	0	0	0	0	0	0	0	3
98	55	0	0.820556127	0	0	0	0	0	0	0	0	0	0	3
99	55	0	0.828929148	0	0	0	0	0	0	0	0	0	0	3
100	56	0	0.83730217	0	0	0	0	0	0	0	0	0	0	3
101	57	0	0.845675192	0	0	0	0	0	0	0	0	0	0	3
102	58	0	0.854048213	0	0	0	0	0	0	0	0	0	0	3
103	58	0	0.862421235	0	0	0	0	0	0	0	0	0	0	3
104	59	0	0.870794257	0	0	0	0	0	0	0	0	0	0	3
105	59	0	0.879167278	0	0	0	0	0	0	0	0	0	0	3
106	60	0	0.8875403	0	0	0	0	0	0	0	0	0	0	3
107	60	0	0.895913322	0	0	0	0	0	0	0	0	0	0	3
108	61	0	0.904286343	0	0	0	0	0	0	0	0	0	0	3
109	61	0	0.912659365	0	0	0	0	0	0	0	0	0	0	3
110	62	0	0.921032387	0	0	0	0	0	0	0	0	0	0	3
111	62	0	0.929405409	0	0	0	0	0	0	0	0	0	0	3
112	63	0	0.93777843	0	0	0	0	0	0	0	0	0	0	3
113	63	0	0.946151452	0	0	0	0	0	0	0	0	0	0	3
114	64	0	0.954524474	0	0	0	0	0	0	0	0	0	0	3
115	64	0	0.962897495	0	0	0	0	0	0	0	0	0	0	3
116	65	0	0.971270517	0	0	0	0	0	0	0	0	0	0	3
117	65	0	0.979643539	0	0	0	0	0	0	0	0	0	0	3
118	65	0	0.98801656	0	0	0	0	0	0	0	0	0	0	3
119	66	0	0.996389582	0	0	0	0	0	0	0	0	0	0	3
120	66	0	1.0047626	0	0	0	0	0	5e-06	0	100	0	0	3
121	67	0	1.01313563	0	0	0	0	0	5e-06	0	100	0	0	3
122	67	0	1.02150865	0	0	0	0	0	5e-06	0	100	0	0	3
123	68	0	1.02988167	0	0	0	0	0	5e-06	0	100	0	0	3
124	68	0	1.03825469	0	0	0	0	0	5e-06	0	100	0	0	3
125	69	0	1.04662771	0	0	0	0	0	5e-06	0	100	0	0	3
126	69	0	1.05500073	0	0	0	0	0	5e-06	0	100	0	0	3
127	69	0	1.06337376	0	0	0	0	0	5e-06	0	100	0	0	3
