Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0083730217	101321.305	101321.305	101321.305	101321.305	0	0	0	0	0	0	3
2	5	0	0.0167460434	101324.561	101322.933	101321.305	101324.561	1.62791705	0	0	0	0	0	3
3	5	0	0.0251190651	101324.893	101323.586	101321.305	101324.893	2.28128838	0	0	0	0	0	3
4	6	0	0.0334920868	101324.919	101323.92	101321.305	101324.919	2.6144557	0	0	0	0	0	3
5	6	0	0.0418651085	101324.915	101324.119	101321.305	101324.919	2.81359887	0	0	0	0	0	3
6	7	0	0.0502381302	101324.931	101324.254	101321.305	101324.931	2.94895906	0	0	0	0	0	3
7	7	0	0.0586111519	101324.942	101324.352	101321.305	101324.942	3.04720898	0	0	0	0	0	3
8	7	0	0.0669841736	101324.952	101324.427	101321.305	101324.952	3.12221414	0	0	0	0	0	3
9	8	0	0.0753571953	101324.96	101324.487	101321.305	101324.96	3.1814188	0	0	0	0	0	3
10	8	0	0.083730217	101324.964	101324.534	101321.305	101324.964	3.22912911	0	0	0	0	0	3
11	9	0	0.0921032387	101324.968	101324.574	101321.305	101324.968	3.2685196	0	0	0	0	0	3
12	9	0	0.10047626	101324.972	101324.607	101321.305	101324.972	3.30167753	0	0	0	0	0	3
13	9	0	0.108849282	101324.975	101324.635	101321.305	101324.975	3.33001748	0	0	0	0	0	3
14	10	0	0.117222304	101324.977	101324.66	101321.305	101324.977	3.35439699	0	0	0	0	0	3
15	10	0	0.125595325	101324.977	101324.681	101321.305	101324.977	3.37557744	0	0	0	0	0	3
16	11	0	0.133968347	101324.978	101324.699	101321.305	101324.978	3.3941429	0	0	0	0	0	3
17	11	0	0.142341369	101324.977	101324.716	101321.305	101324.978	3.41044787	0	0	0	0	0	3
18	12	0	0.150714391	101324.976	101324.73	101321.305	101324.978	3.42489131	0	0	0	0	0	3
19	12	0	0.159087412	101324.974	101324.743	101321.305	101324.978	3.43775287	0	0	0	0	0	3
20	13	0	0.167460434	101324.974	101324.754	101321.305	101324.978	3.44930116	0	0	0	0	0	3
21	13	0	0.175833456	101324.974	101324.765	101321.305	101324.978	3.45974682	0	0	0	0	0	3
22	14	0	0.184206477	101324.973	101324.774	101321.305	101324.978	3.46919002	0	0	0	0	0	3
23	14	0	0.192579499	101324.973	101324.783	101321.305	101324.978	3.47781221	0	0	0	0	0	3
24	15	0	0.200952521	101324.973	101324.791	101321.305	101324.978	3.4857219	0	0	0	0	0	3
25	15	0	0.209325542	101324.973	101324.798	101321.305	101324.978	3.49300439	0	0	0	0	0	3
26	16	0	0.217698564	101324.974	101324.805	101321.305	101324.978	3.49976306	0	0	0	0	0	3
27	16	0	0.226071586	101324.974	101324.811	101321.305	101324.978	3.50602015	0	0	0	0	0	3
28	17	0	0.234444608	101324.974	101324.817	101321.305	101324.978	3.5118375	0	0	0	0	0	3
29	17	0	0.242817629	101324.973	101324.822	101321.305	101324.978	3.51723025	0	0	0	0	0	3
30	18	0	0.251190651	101324.973	101324.827	101321.305	101324.978	3.52224055	0	0	0	0	0	3
31	18	0	0.259563673	101324.972	101324.832	101321.305	101324.978	3.5268972	0	0	0	0	0	3
32	19	0	0.267936694	101324.968	101324.836	101321.305	101324.978	3.53114358	0	0	0	0	0	3
33	19	0	0.276309716	101324.964	101324.84	101321.305	101324.978	3.53501299	0	0	0	0	0	3
34	20	0	0.284682738	101324.959	101324.844	101321.305	101324.978	3.53850346	0	0	0	0	0	3
35	20	0	0.293055759	101324.953	101324.847	101321.305	101324.978	3.54163718	0	0	0	0	0	3
36	21	0	0.301428781	101324.947	101324.85	101321.305	101324.978	3.54441087	0	0	0	0	0	3
37	21	0	0.309801803	101324.942	101324.852	101321.305	101324.978	3.54689911	0	0	0	0	0	3
38	22	0	0.318174825	101324.941	101324.854	101321.305	101324.978	3.5492397	0	0	0	0	0	3
39	22	0	0.326547846	101324.942	101324.857	101321.305	101324.978	3.55149051	0	0	0	0	0	3
40	23	0	0.334920868	101324.943	101324.859	101321.305	101324.978	3.55365186	0	0	0	0	0	3
41	23	0	0.34329389	101324.943	101324.861	101321.305	101324.978	3.55571359	0	0	0	0	0	3
42	24	0	0.351666911	101324.942	101324.863	101321.305	101324.978	3.55765638	0	0	0	0	0	3
43	24	0	0.360039933	101324.942	101324.865	101321.305	101324.978	3.5594977	0	0	0	0	0	3
44	25	0	0.368412955	101324.943	101324.866	101321.305	101324.978	3.56127098	0	0	0	0	0	3
45	25	0	0.376785976	101324.943	101324.868	101321.305	101324.978	3.56297797	0	0	0	0	0	3
46	26	0	0.385158998	101324.943	101324.87	101321.305	101324.978	3.56460055	0	0	0	0	0	3
47	26	0	0.39353202	101324.941	101324.871	101321.305	101324.978	3.56612606	0	0	0	0	0	3
48	27	0	0.401905042	101324.94	101324.873	101321.305	101324.978	3.56755069	0	0	0	0	0	3
49	28	0	0.410278063	101324.939	101324.874	101321.305	101324.978	3.56889415	0	0	0	0	0	3
50	28	0	0.418651085	101324.938	101324.875	101321.305	101324.978	3.57017546	0	0	0	0	0	3
51	29	0	0.427024107	101324.937	101324.877	101321.305	101324.978	3.57138948	0	0	0	0	0	3
52	29	0	0.435397128	101324.936	101324.878	101321.305	101324.978	3.57253115	0	0	0	0	0	3
53	30	0	0.44377015	101324.934	101324.879	101321.305	101324.978	3.57359525	0	0	0	0	0	3
54	30	0	0.452143172	101324.932	101324.88	101321.305	101324.978	3.57458608	0	0	0	0	0	3
55	31	0	0.460516193	101324.931	101324.881	101321.305	101324.978	3.575517	0	0	0	0	0	3
56	31	0	0.468889215	101324.93	101324.882	101321.305	101324.978	3.57639699	0	0	0	0	0	3
57	32	0	0.477262237	101324.93	101324.882	101321.305	101324.978	3.57723825	0	0	0	0	0	3
58	32	0	0.485635259	101324.929	101324.883	101321.305	101324.978	3.57804596	0	0	0	0	0	3
59	33	0	0.49400828	101324.93	101324.884	101321.305	101324.978	3.57883302	0	0	0	0	0	3
60	34	0	0.502381302	101324.931	101324.885	101321.305	101324.978	3.57961016	0	0	0	0	0	3
61	34	0	0.510754324	101324.932	101324.945	101324.561	101324.978	0.416790685	0	0	0	0	0	3
62	35	0	0.519127345	101324.934	101324.951	101324.893	101324.978	0.0845937649	0	0	0	0	0	3
63	35	0	0.527500367	101324.935	101324.952	101324.915	101324.978	0.0624532682	0	0	0	0	0	3
64	36	0	0.535873389	101324.937	101324.952	101324.915	101324.978	0.0624532682	0	0	0	0	0	3
65	36	0	0.54424641	101324.939	101324.953	101324.929	101324.978	0.0485390838	0	0	0	0	0	3
