Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0083730217	293.200083	293.200083	293.200083	293.200083	0	0	0	0	0	0	3
2	5	0	0.0167460434	293.200092	293.200088	293.200083	293.200092	4.73135179e-06	0	0	0	0	0	3
3	5	0	0.0251190651	293.200097	293.200091	293.200083	293.200097	7.69249579e-06	0	0	0	0	0	3
4	6	0	0.0334920868	293.2001	293.200093	293.200083	293.2001	9.99355063e-06	0	0	0	0	0	3
5	6	0	0.0418651085	293.200103	293.200095	293.200083	293.200103	1.19741931e-05	0	0	0	0	0	3
6	7	0	0.0502381302	293.200107	293.200097	293.200083	293.200107	1.40255809e-05	0	0	0	0	0	3
7	7	0	0.0586111519	293.200112	293.200099	293.200083	293.200112	1.61247406e-05	0	0	0	0	0	3
8	7	0	0.0669841736	293.200116	293.200101	293.200083	293.200116	1.81980294e-05	0	0	0	0	0	3
9	8	0	0.0753571953	293.200119	293.200103	293.200083	293.200119	2.02137072e-05	0	0	0	0	0	3
10	8	0	0.083730217	293.200123	293.200105	293.200083	293.200123	2.21494033e-05	0	0	0	0	0	3
11	9	0	0.0921032387	293.200127	293.200107	293.200083	293.200127	2.41385507e-05	0	0	0	0	0	3
12	9	0	0.10047626	293.200131	293.200109	293.200083	293.200131	2.611497e-05	0	0	0	0	0	3
13	9	0	0.108849282	293.200134	293.200111	293.200083	293.200134	2.80426293e-05	0	0	0	0	0	3
14	10	0	0.117222304	293.200137	293.200113	293.200083	293.200137	2.98946423e-05	0	0	0	0	0	3
15	10	0	0.125595325	293.200139	293.200115	293.200083	293.200139	3.16601024e-05	0	0	0	0	0	3
16	11	0	0.133968347	293.200142	293.200116	293.200083	293.200142	3.33781077e-05	0	0	0	0	0	3
17	11	0	0.142341369	293.200144	293.200118	293.200083	293.200144	3.50166259e-05	0	0	0	0	0	3
18	12	0	0.150714391	293.200146	293.20012	293.200083	293.200146	3.65548034e-05	0	0	0	0	0	3
19	12	0	0.159087412	293.200147	293.200121	293.200083	293.200147	3.79827055e-05	0	0	0	0	0	3
20	13	0	0.167460434	293.200147	293.200122	293.200083	293.200147	3.92962983e-05	0	0	0	0	0	3
21	13	0	0.175833456	293.200147	293.200123	293.200083	293.200147	4.04925393e-05	0	0	0	0	0	3
22	14	0	0.184206477	293.200147	293.200125	293.200083	293.200147	4.15634604e-05	0	0	0	0	0	3
23	14	0	0.192579499	293.200146	293.200125	293.200083	293.200147	4.25065616e-05	0	0	0	0	0	3
24	15	0	0.200952521	293.200145	293.200126	293.200083	293.200147	4.3322876e-05	0	0	0	0	0	3
25	15	0	0.209325542	293.200144	293.200127	293.200083	293.200147	4.40154769e-05	0	0	0	0	0	3
26	16	0	0.217698564	293.200141	293.200128	293.200083	293.200147	4.45599385e-05	0	0	0	0	0	3
27	16	0	0.226071586	293.200139	293.200128	293.200083	293.200147	4.49659843e-05	0	0	0	0	0	3
28	17	0	0.234444608	293.200136	293.200128	293.200083	293.200147	4.52465164e-05	0	0	0	0	0	3
29	17	0	0.242817629	293.200133	293.200128	293.200083	293.200147	4.5412315e-05	0	0	0	0	0	3
30	18	0	0.251190651	293.20013	293.200128	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
31	18	0	0.259563673	293.200126	293.200128	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
32	19	0	0.267936694	293.200121	293.200128	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
33	19	0	0.276309716	293.200115	293.200128	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
34	20	0	0.284682738	293.200109	293.200127	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
35	20	0	0.293055759	293.200102	293.200126	293.200083	293.200147	4.54749396e-05	0	0	0	0	0	3
