Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0083730217
2	5	0	0.0167460434
3	5	0	0.0251190651
4	6	0	0.0334920868
5	6	0	0.0418651085
6	7	0	0.0502381302
7	7	0	0.0586111519
8	7	0	0.0669841736
9	8	0	0.0753571953
10	8	0	0.083730217
11	9	0	0.0921032387
12	9	0	0.10047626
13	9	0	0.108849282
14	10	0	0.117222304
15	10	0	0.125595325
16	11	0	0.133968347
17	11	0	0.142341369
18	12	0	0.150714391
19	12	0	0.159087412
20	13	0	0.167460434
21	13	0	0.175833456
22	14	0	0.184206477
23	14	0	0.192579499
24	15	0	0.200952521
25	15	0	0.209325542
26	16	0	0.217698564
27	16	0	0.226071586
28	17	0	0.234444608
29	17	0	0.242817629
30	18	0	0.251190651
31	18	0	0.259563673
32	19	0	0.267936694
33	19	0	0.276309716
34	20	0	0.284682738
35	20	0	0.293055759
36	21	0	0.301428781
37	21	0	0.309801803
38	22	0	0.318174825
39	22	0	0.326547846
40	23	0	0.334920868
41	23	0	0.34329389
42	24	0	0.351666911
43	24	0	0.360039933
44	25	0	0.368412955
45	25	0	0.376785976
46	26	0	0.385158998
47	26	0	0.39353202
48	27	0	0.401905042
49	28	0	0.410278063
50	28	0	0.418651085
51	29	0	0.427024107
52	29	0	0.435397128
53	30	0	0.44377015
54	30	0	0.452143172
55	31	0	0.460516193
56	31	0	0.468889215
57	32	0	0.477262237
58	32	0	0.485635259
59	33	0	0.49400828
60	34	0	0.502381302
61	34	0	0.510754324
62	35	0	0.519127345
63	35	0	0.527500367
64	36	0	0.535873389
65	36	0	0.54424641
66	37	0	0.552619432
67	38	0	0.560992454
68	38	0	0.569365476
69	39	0	0.577738497
70	39	0	0.586111519
71	40	0	0.594484541
72	40	0	0.602857562
73	41	0	0.611230584
74	42	0	0.619603606
75	42	0	0.627976627
76	43	0	0.636349649
77	43	0	0.644722671
78	44	0	0.653095693
79	44	0	0.661468714
80	45	0	0.669841736
81	45	0	0.678214758
82	46	0	0.686587779
83	47	0	0.694960801
84	47	0	0.703333823
85	48	0	0.711706844
86	48	0	0.720079866
87	49	0	0.728452888
88	49	0	0.73682591
89	50	0	0.745198931
90	50	0	0.753571953
91	51	0	0.761944975
92	52	0	0.770317996
93	52	0	0.778691018
94	53	0	0.78706404
95	53	0	0.795437061
96	54	0	0.803810083
97	54	0	0.812183105
98	55	0	0.820556127
99	55	0	0.828929148
100	56	0	0.83730217
101	57	0	0.845675192
102	58	0	0.854048213
103	58	0	0.862421235
104	59	0	0.870794257
105	59	0	0.879167278
106	60	0	0.8875403
107	60	0	0.895913322
108	61	0	0.904286343
109	61	0	0.912659365
110	62	0	0.921032387
111	62	0	0.929405409
112	63	0	0.93777843
113	63	0	0.946151452
114	64	0	0.954524474
115	64	0	0.962897495
116	65	0	0.971270517
117	65	0	0.979643539
118	65	0	0.98801656
119	66	0	0.996389582
120	66	0	1.0047626
121	67	0	1.01313563
122	67	0	1.02150865
123	68	0	1.02988167
124	68	0	1.03825469
125	69	0	1.04662771
126	69	0	1.05500073
127	69	0	1.06337376
128	70	0	1.07174678
129	70	0	1.0801198
130	71	0	1.08849282
131	71	0	1.09686584
132	71	0	1.10523886
133	72	0	1.11361189
134	72	0	1.12198491
135	73	0	1.13035793
136	73	0	1.13873095
137	74	0	1.14710397
138	74	0	1.15547699
139	74	0	1.16385002
140	75	0	1.17222304
141	75	0	1.18059606
142	76	0	1.18896908
143	76	0	1.1973421
144	76	0	1.20571512
145	77	0	1.21408815
146	77	0	1.22246117
147	78	0	1.23083419
148	78	0	1.23920721
149	79	0	1.24758023
150	79	0	1.25595325
151	79	0	1.26432628
152	80	0	1.2726993
153	80	0	1.28107232
154	81	0	1.28944534
155	81	0	1.29781836
156	81	0	1.30619139
157	82	0	1.31456441
158	82	0	1.32293743
