Name,NACA 2412
Chord(mm),158
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
158.000000,0.205400
150.100000,1.801200
142.200000,3.286400
126.400000,5.925000
110.600000,8.184400
94.800000,10.048800
79.000000,11.439200
63.200000,12.324000
47.400000,12.450400
39.500000,12.118600
31.600000,11.470800
23.700000,10.443800
15.800000,8.895400
11.850000,7.836800
7.900000,6.525400
3.950000,4.724200
1.975000,3.397000
0.000000,0.000000
1.975000,-2.607000
3.950000,-3.586600
7.900000,-4.755800
11.850000,-5.466800
15.800000,-5.925000
23.700000,-6.478000
31.600000,-6.683400
39.500000,-6.667600
47.400000,-6.509600
63.200000,-6.004000
79.000000,-5.277200
94.800000,-4.360800
110.600000,-3.381200
126.400000,-2.370000
142.200000,-1.295600
150.100000,-0.758400
158.000000,-0.205400
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.975000,0.395000
3.950000,0.568800
7.900000,0.884800
11.850000,1.185000
15.800000,1.485200
23.700000,1.982900
31.600000,2.393700
39.500000,2.725500
47.400000,2.970400
63.200000,3.160000
79.000000,3.081000
94.800000,2.844000
110.600000,2.401600
126.400000,1.777500
142.200000,0.995400
150.100000,0.521400
158.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
158.000000,0.000000
