Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),225
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
225.000000,0.000000
224.945100,0.011700
224.780175,0.047025
224.505450,0.105525
224.121375,0.187200
223.628175,0.292050
223.026300,0.419175
222.316200,0.568800
221.498550,0.740025
220.574250,0.932625
219.544200,1.145700
218.409075,1.379025
217.170225,1.631700
215.828550,1.903050
214.385625,2.192400
212.842350,2.498625
211.200525,2.821050
209.461725,3.158775
207.627300,3.511125
205.699050,3.876750
203.679000,4.254750
201.568950,4.644225
199.370700,5.044275
197.086725,5.453775
194.718825,5.871600
192.269700,6.296625
189.741150,6.728175
187.136100,7.164900
184.456575,7.605900
181.705725,8.049825
178.885575,8.496000
175.999275,8.943075
173.049525,9.390150
170.039250,9.836100
166.971150,10.280025
163.848600,10.720800
160.674075,11.157300
157.451175,11.588625
154.183050,12.013650
150.872625,12.431475
147.523275,12.840975
144.138150,13.241250
140.720850,13.631400
137.274750,14.010300
133.803000,14.376825
130.309425,14.730300
126.796950,15.069825
123.269625,15.394050
119.730600,15.702525
116.183700,15.994125
112.632075,16.268175
109.079775,16.523550
105.529950,16.759350
101.986425,16.975350
98.452575,17.170200
94.932225,17.343450
91.428750,17.494200
87.929100,17.620875
84.441825,17.717175
80.982000,17.782200
77.553000,17.815500
74.158650,17.816850
70.802550,17.786475
67.488300,17.723925
64.219050,17.629875
60.998850,17.503875
57.830625,17.346600
54.717975,17.158275
51.664050,16.939575
48.672225,16.690725
45.745425,16.412625
42.887025,16.105950
40.099950,15.771600
37.386900,15.410250
34.751025,15.023250
32.195025,14.611500
29.721150,14.176125
27.332325,13.718250
25.030800,13.239450
22.819050,12.740625
20.699100,12.223125
18.673200,11.688750
16.743375,11.138400
14.911425,10.573650
13.178925,9.996075
11.547900,9.406800
10.019700,8.807400
8.595675,8.199225
7.277175,7.583400
6.065550,6.961275
4.961475,6.334200
3.966300,5.703300
3.080700,5.069475
2.305125,4.434075
1.640700,3.797550
1.087425,3.161025
0.645750,2.525400
0.316125,1.890900
0.098775,1.258200
-0.006750,0.627750
0.000000,0.000000
0.117675,-0.616725
0.345375,-1.213875
0.682425,-1.791225
1.128375,-2.348775
1.682775,-2.886300
2.344725,-3.403350
3.113550,-3.900150
3.988125,-4.376475
4.967550,-4.832100
6.050700,-5.266800
7.236225,-5.680350
8.523000,-6.072750
9.909450,-6.443775
11.394225,-6.793425
12.975525,-7.121475
14.652000,-7.428150
16.421625,-7.713000
18.282825,-7.976475
20.233575,-8.218575
22.272075,-8.439075
24.396075,-8.638200
26.603775,-8.816625
28.892700,-8.973900
31.260825,-9.110925
33.706125,-9.227700
36.225900,-9.324900
38.817900,-9.402975
41.479650,-9.462150
44.208900,-9.503550
47.002950,-9.527175
49.859100,-9.534375
52.774875,-9.525375
55.747800,-9.501300
58.774725,-9.463050
61.853400,-9.411075
64.980450,-9.346725
68.153400,-9.270675
71.369325,-9.183825
74.625300,-9.087525
77.918175,-8.982675
81.245025,-8.869950
84.602925,-8.750700
87.988725,-8.625600
91.410525,-8.495325
94.870125,-8.355150
98.347275,-8.205075
101.839275,-8.045325
105.342075,-7.877025
108.852750,-7.701075
112.367925,-7.518150
115.883775,-7.328925
119.397150,-7.134300
122.904675,-6.934725
126.402975,-6.731325
129.888450,-6.524325
133.357725,-6.314850
136.807425,-6.103125
140.234400,-5.889600
143.634825,-5.675400
147.005550,-5.460525
150.343425,-5.245425
153.645075,-5.031000
156.906900,-4.817250
160.126200,-4.604850
163.299375,-4.394025
166.423275,-4.185000
169.494975,-3.978225
172.511550,-3.774150
175.469400,-3.573000
178.366050,-3.374775
181.198575,-3.179925
183.963825,-2.988900
186.659100,-2.801475
189.281925,-2.618325
191.829375,-2.439450
194.298975,-2.265300
196.688250,-2.095650
198.994725,-1.931175
201.215925,-1.771875
203.349825,-1.617975
205.393950,-1.469700
207.346500,-1.327500
209.205225,-1.191150
210.968325,-1.061325
212.634000,-0.938025
214.200450,-0.821250
215.666100,-0.711675
217.029600,-0.609300
218.289150,-0.514125
219.443625,-0.426600
220.491900,-0.346725
221.432625,-0.274950
222.265125,-0.211050
222.988500,-0.155475
223.601625,-0.108225
224.104500,-0.069300
224.496000,-0.039150
224.775900,-0.017325
224.943975,-0.004275
225.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.098775,1.258200
-0.006750,0.313875
0.000000,0.000000
0.117675,0.348246
0.345375,0.366664
0.682425,0.393477
1.128375,0.429681
1.682775,0.475779
2.344725,0.531584
3.113550,0.596418
3.988125,0.670331
4.967550,0.752775
6.050700,0.843020
7.236225,0.941012
8.523000,1.046266
9.909450,1.158270
11.394225,1.276550
12.975525,1.400557
14.652000,1.529507
16.421625,1.663106
18.282825,1.800474
20.233575,1.940879
22.272075,2.084014
24.396075,2.229049
26.603775,2.375030
28.892700,2.521716
31.260825,2.668083
33.706125,2.813613
36.225900,2.957446
38.817900,3.098935
41.479650,3.237482
44.208900,3.372111
47.002950,3.502469
49.859100,3.627535
52.774875,3.746875
55.747800,3.859641
58.774725,3.965208
61.853400,4.063118
64.980450,4.152527
68.153400,4.232901
71.369325,4.303890
74.625300,4.364570
77.918175,4.414639
81.245025,4.453653
84.602925,4.481013
87.988725,4.496558
91.410525,4.499767
94.870125,4.495486
98.347275,4.485154
101.839275,4.469069
105.342075,4.446889
108.852750,4.418778
112.367925,4.384507
115.883775,4.344171
119.397150,4.297819
122.904675,4.245568
126.402975,4.187357
129.888450,4.123334
133.357725,4.053514
136.807425,3.978256
140.234400,3.897643
143.634825,3.811657
147.005550,3.720834
150.343425,3.625376
153.645075,3.525275
156.906900,3.421079
160.126200,3.312886
163.299375,3.201147
166.423275,3.086181
169.494975,2.968313
172.511550,2.847849
175.469400,2.725192
178.366050,2.600849
181.198575,2.475068
183.963825,2.348259
186.659100,2.220965
189.281925,2.093419
191.829375,1.966163
194.298975,1.839581
196.688250,1.714219
198.994725,1.590255
201.215925,1.468298
203.349825,1.348767
205.393950,1.232071
207.346500,1.118434
209.205225,1.008446
210.968325,0.902412
212.634000,0.800758
214.200450,0.703947
215.666100,0.611976
217.029600,0.525421
218.289150,0.444680
219.443625,0.369887
220.491900,0.301467
221.432625,0.239406
222.265125,0.184223
222.988500,0.135832
223.601625,0.094716
224.104500,0.060744
224.496000,0.034192
224.775900,0.015305
224.943975,0.003833
225.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
225.000000,0.000000
